date	week	weekday	value	currency	target	Food/Household	Local Transport	Rent	Sport	Phone/Internet	Fees	Special	category	place
2012-05-16	21	3	2104.84	sek (from rur x4.979)	Vim-avia SVX-MOW-SVX							Travels	Travels	Moscow
2012-07-23	31	1	438.56	sek (from rur x4.979)	Train from Piter to Moscow							Travels	Travels	Moscow
2012-07-26	31	4	77.77	sek (from rur x4.979)	Bus from Stockholm Airport							Travels	Travels	Moscow
2012-07-27	31	5	1097.91	sek (from rur x4.979)	Estonian Airlines SVO-ARN							Travels	Travels	Moscow
2012-08-03	32	5	20.08	sek (from rur x4.979)	Megafon							Phone/Internet	Phone/Internet	Moscow
2012-08-04	32	6	85.36	sek (from rur x4.979)	Hiking rug Sportmaster Moscow							Sport	Sport	Moscow
2012-08-05	32	7	64.27	sek (from rur x4.979)	Aeroexpress Moscow							Travels	Travels	Moscow
2012-08-06	33	1	98.01	sek (from rur x4.979)	Comviq SIM-card					Phone/Internet			Phone/Internet	Lappland
2012-08-06	33	1	74.31	sek (from rur x4.979)	Comviq Kompis 75					Phone/Internet			Phone/Internet	Lappland
2012-08-06	33	1	71.30	sek (from rur x4.979)	SL metro							Local Transport	Local Transport	Lappland
2012-08-07	33	2	475.80	sek (from rur x4.979)	Abisko Lapporten Food for a hike (481sek)							Travels	Travels	Lappland
2012-08-07	33	2	29.65	sek (from rur x4.979)	"STF Abisko Matches, Food"							Travels	Travels	Lappland
2012-08-07	33	2	247.26	sek (from rur x4.979)	"STF Abiskojaure House (100sek), tourist card (150sek)"							Travels	Travels	Lappland
2012-08-07	33	2	73.05	sek (from rur x4.979)	Food on the train Boden							Travels	Travels	Lappland
2012-08-08	33	3	128.58	sek (from rur x4.979)	STF Alesjaure House (130sek)							Travels	Travels	Lappland
2012-08-09	33	4	131.57	sek (from rur x4.979)	STF Salka House (130sek)							Travels	Travels	Lappland
2012-08-10	33	5	100.00	sek (from rur x4.979)	STF Singi House (100sek)							Travels	Travels	Lappland
2012-08-10	33	5	45.57	sek (from rur x4.979)	STF Salka Food (45sek)							Travels	Travels	Lappland
2012-08-11	33	6	396.37	sek (from rur x4.979)	STF Kebnekaise fj?llstation House 2 days (400sek)							Travels	Travels	Lappland
2012-08-13	34	1	97.53	sek (from rur x4.979)	STF Tarfala House (100sek)							Travels	Travels	Lappland
2012-08-14	34	2	208.19	sek (from rur x4.979)	Nikkaluokta Sarri Cash out							Travels	Travels	Lappland
2012-08-14	34	2	39.67	sek (from rur x4.979)	Nikkaluokta Sarri Food							Travels	Travels	Lappland
2012-08-14	34	2	89.23	sek (from rur x4.979)	Bus Nikkaluokta-Kiruna (90sek)							Travels	Travels	Lappland
