consumption	cylinders	displacement	horsepower	weight	acceleration	year	origin	name
13.06750317	8	5030.809	130	1589.386368	7.45647284	70	U.S.	Chevrolet Chevelle Malibu
15.68100381	8	5735.45	165	1675.115256	7.145786471	70	U.S.	Buick Skylark 320
13.06750317	8	5211.066	150	1558.542112	6.835100103	70	U.S.	Plymouth Satellite
14.70094107	8	4981.648	150	1557.181336	7.45647284	70	U.S.	Amc Rebel Sst
13.83617983	8	4948.874	140	1564.438808	6.524413735	70	U.S.	Ford Torino
15.68100381	8	7030.023	198	1969.042872	6.213727366	70	U.S.	Ford Galaxie 500
16.80107551	8	7439.698	220	1974.939568	5.59235463	70	U.S.	Chevrolet Impala
16.80107551	8	7210.28	215	1955.888704	5.281668262	70	U.S.	Plymouth Fury Iii
16.80107551	8	7456.085	225	2007.1446	6.213727366	70	U.S.	Pontiac Catalina
15.68100381	8	6390.93	190	1746.3292	5.281668262	70	U.S.	Amc Ambassador Dpl
15.68100381	8	6276.221	170	1616.148296	6.213727366	70	U.S.	Dodge Challenger Se
16.80107551	8	5571.58	160	1637.013528	4.970981893	70	U.S.	Plymouth 'Cuda 340
15.68100381	8	6554.8	150	1705.959512	5.903040998	70	U.S.	Chevrolet Monte Carlo
16.80107551	8	7456.085	225	1399.784912	6.213727366	70	U.S.	Buick Estate Wagon (Sw)
9.800627379	4	1851.731	95	1075.920224	9.32059105	70	Japan	Toyota Corona Mark Ii
10.6915935	6	3244.626	95	1285.026136	9.631277418	70	U.S.	Plymouth Duster
13.06750317	6	3261.013	97	1258.264208	9.631277418	70	U.S.	Amc Hornet
11.200717	6	3277.4	85	1173.442504	9.941963786	70	U.S.	Ford Maverick
8.711668782	4	1589.539	88	966.15096	9.009904681	70	Japan	Datsun Pl510
9.046732966	4	1589.539	46	832.34132	12.7381411	70	Europe	Volkswagen 1131 Deluxe Sedan
9.408602284	4	1802.57	87	1211.997824	10.87402289	70	Europe	Peugeot 504
9.800627379	4	1753.409	90	1102.22856	9.009904681	70	Europe	Audi 100 Ls
9.408602284	4	1704.248	95	1077.281	10.87402289	70	Europe	Saab 99E
9.046732966	4	1982.827	113	1013.324528	7.767159208	70	Europe	Bmw 2002
11.200717	6	3261.013	90	1201.111616	9.32059105	70	U.S.	Amc Gremlin
23.52150571	8	5899.32	215	2093.32708	8.699218313	70	U.S.	Ford F250
23.52150571	8	5030.809	200	1984.918592	9.32059105	70	U.S.	Chevy C20
21.38318701	8	5211.066	210	1987.640144	8.388531945	70	U.S.	Dodge D200
26.13500634	8	4981.648	193	2146.397344	11.49539563	70	U.S.	Hi 1200D
8.711668782	4	1589.539	88	966.15096	9.009904681	71	Japan	Datsun Pl510
8.400537754	4	2294.18	90	1026.932288	9.631277418	71	U.S.	Chevrolet Vega 2300
9.408602284	4	1851.731	95	1010.602976	8.699218313	71	Japan	Toyota Corona
9.408602284	4	1605.926		928.049232	11.806082	71	U.S.	Ford Pinto
12.37973985	6	3801.784	100	1194.761328	8.077845576	71	U.S.	Amc Gremlin
14.70094107	6	3687.075	105	1559.902888	9.631277418	71	U.S.	Plymouth Satellite Custom
13.83617983	6	4096.75	100	1510.007768	9.631277418	71	U.S.	Chevrolet Chevelle Malibu
12.37973985	6	4096.75	88	1497.760784	9.631277418	71	U.S.	Ford Torino 500
13.06750317	6	3801.784	100	1491.410496	9.631277418	71	U.S.	Amc Matador
16.80107551	8	5735.45	165	1909.168728	7.45647284	71	U.S.	Chevrolet Impala
16.80107551	8	6554.8	175	2024.834688	7.145786471	71	U.S.	Pontiac Catalina Brougham
16.80107551	8	5751.837	153	1884.221168	8.388531945	71	U.S.	Ford Galaxie 500
16.80107551	8	5211.066	150	1857.912832	8.077845576	71	U.S.	Plymouth Fury Iii
19.60125476	8	6276.221	180	2247.54836	7.145786471	71	U.S.	Dodge Monaco (Sw)
18.09346593	8	6554.8	170	2152.747632	7.45647284	71	U.S.	Ford Country Squire (Sw)
18.09346593	8	6554.8	175	2331.46288	7.45647284	71	U.S.	Pontiac Safari (Sw)
13.06750317	6	4227.846	110	1343.539504	8.388531945	71	U.S.	Amc Hornet Sportabout (Sw)
