"geo","time","children_per_woman_total_fertility","child_mortality_0_5_year_olds_dying_per_1000_born","income_per_person_gdppercapita_ppp_inflation_adjusted","population_total"
"asia",2015,,,,
"europe",2015,,,,
"africa",2015,,,,
"americas",2015,,,,
"asia",1800,,,,
"europe",1800,,,,
"africa",1800,,,,
"americas",1800,,,,
"zaf",1800,6.47,398.4,1480,1441000
"zaf",1801,6.47,398.4,1480,
"zaf",1802,6.47,398.4,1480,
"zaf",1803,6.47,398.4,1480,
"zaf",1804,6.47,398.4,1481,
"zaf",1805,6.47,398.4,1481,
"zaf",1806,6.47,398.4,1481,
"zaf",1807,6.47,398.4,1481,
"zaf",1808,6.47,398.4,1481,
"zaf",1809,6.47,398.4,1482,
"zaf",1810,6.47,398.4,1482,1495000
"zaf",1811,6.47,398.4,1482,
"zaf",1812,6.47,398.4,1482,
"zaf",1813,6.47,398.4,1483,
"zaf",1814,6.47,398.4,1483,
"zaf",1815,6.47,398.4,1483,
"zaf",1816,6.47,398.4,1483,
"zaf",1817,6.47,398.4,1483,
"zaf",1818,6.47,398.4,1484,
"zaf",1819,6.47,398.4,1484,
"zaf",1820,6.47,398.4,1484,1577000
"zaf",1821,6.47,398.4,1752,
"zaf",1822,6.47,398.4,1634,
"zaf",1823,6.47,398.4,1649,
"zaf",1824,6.47,398.4,1663,
"zaf",1825,6.47,398.4,1677,
"zaf",1826,6.47,398.4,1692,
"zaf",1827,6.47,398.4,1700,
"zaf",1828,6.47,398.4,1708,
"zaf",1829,6.47,398.4,1716,
"zaf",1830,6.47,398.4,1634,1715000
"zaf",1831,6.47,398.4,1556,
"zaf",1832,6.47,398.4,1546,
"zaf",1833,6.47,398.4,1536,
"zaf",1834,6.47,398.4,1526,
"zaf",1835,6.47,398.4,1517,
"zaf",1836,6.47,398.4,1507,
"zaf",1837,6.47,398.4,1497,
"zaf",1838,6.47,398.4,1488,
"zaf",1839,6.47,398.4,1478,
"zaf",1840,6.47,398.4,1469,1894000
"zaf",1841,6.47,398.4,1434,
"zaf",1842,6.47,398.4,1401,
"zaf",1843,6.47,398.4,1368,
"zaf",1844,6.47,398.4,1317,
"zaf",1845,6.47,398.4,1268,
"zaf",1846,6.47,398.4,1221,
"zaf",1847,6.47,398.4,1176,
"zaf",1848,6.47,398.4,1218,
"zaf",1849,6.47,398.4,1262,
"zaf",1850,6.47,398.4,1308,2092000
"zaf",1851,6.47,398.4,1549,
"zaf",1852,6.47,398.4,1624,
"zaf",1853,6.47,398.4,1744,
"zaf",1854,6.47,398.4,1696,
"zaf",1855,6.47,398.4,1821,
"zaf",1856,6.47,398.4,1467,
"zaf",1857,6.47,398.4,1737,
"zaf",1858,6.47,398.4,1520,
"zaf",1859,6.47,398.4,1569,
"zaf",1860,6.47,398.4,1626,2310000
"zaf",1861,6.47,398.4,1531,
"zaf",1862,6.47,398.4,1128,
"zaf",1863,6.47,398.4,1205,
"zaf",1864,6.47,398.4,1682,
"zaf",1865,6.47,398.4,1239,
"zaf",1866,6.47,398.4,1288,
"zaf",1867,6.47,398.4,1544,
"zaf",1868,6.47,398.4,1579,
"zaf",1869,6.47,398.4,1579,
"zaf",1870,6.47,398.4,1696,2630000
"zaf",1871,6.47,398.4,1721,
"zaf",1872,6.47,398.4,2566,
"zaf",1873,6.47,398.4,2237,
"zaf",1874,6.47,398.4,2157,
"zaf",1875,6.47,398.4,2433,
"zaf",1876,6.47,398.4,2752,
"zaf",1877,6.47,398.4,2626,
"zaf",1878,6.47,398.4,2593,
"zaf",1879,6.47,398.4,2908,
"zaf",1880,6.47,398.4,3400,3142000
"zaf",1881,6.47,398.4,3251,
"zaf",1882,6.47,398.4,3116,
"zaf",1883,6.47,398.4,2424,
"zaf",1884,6.47,398.4,2223,
"zaf",1885,6.47,398.4,1900,
"zaf",1886,6.47,398.4,2269,
"zaf",1887,6.47,398.4,2620,
"zaf",1888,6.47,398.4,2990,
"zaf",1889,6.47,398.4,2995,
"zaf",1890,6.47,398.4,3052,3846000
"zaf",1891,6.47,398.4,3216,
"zaf",1892,6.47,398.4,3175,
"zaf",1893,6.47,398.4,3182,
"zaf",1894,6.47,398.4,3129,
"zaf",1895,6.47,398.4,3646,
"zaf",1896,6.47,398.4,3853,
"zaf",1897,6.47,398.2,3646,
"zaf",1898,6.47,398.1,4429,
"zaf",1899,6.47,397.9,3936,
"zaf",1900,6.47,397.6,2802,4721000
"zaf",1901,6.47,397.2,3051,
"zaf",1902,6.47,396.8,3685,
"zaf",1903,6.47,396.4,4996,
"zaf",1904,6.47,395.8,5054,
"zaf",1905,6.47,395.2,5458,
"zaf",1906,6.47,394.6,5963,
"zaf",1907,6.47,393.9,5921,
"zaf",1908,6.47,393.1,4703,
"zaf",1909,6.47,392.3,4985,
"zaf",1910,6.47,391.4,5044,5786000
"zaf",1911,6.47,390.5,5009,
"zaf",1912,6.47,389.6,4975,
"zaf",1913,6.47,388.6,4940,
"zaf",1914,6.47,387.7,4906,
"zaf",1915,6.47,386.8,4871,
"zaf",1916,6.47,385.8,4836,
"zaf",1917,6.47,384.9,4801,
"zaf",1918,6.47,384,4766,
"zaf",1919,6.47,383,4799,
"zaf",1920,6.47,382.1,4833,7155000
"zaf",1921,6.47,381.1,4843,
"zaf",1922,6.47,380.2,4854,
"zaf",1923,6.47,379.3,4866,
"zaf",1924,6.47,378.4,4878,
"zaf",1925,6.47,377.4,5130,
"zaf",1926,6.47,376.5,5198,
"zaf",1927,6.46,375.5,5230,
"zaf",1928,6.46,374.6,5554,
"zaf",1929,6.45,373.7,5355,
"zaf",1930,6.45,372.7,4991,8881000
"zaf",1931,6.44,366,4657,
"zaf",1932,6.44,359.4,4424,
"zaf",1933,6.43,352.8,4843,
"zaf",1934,6.43,346.4,5303,
"zaf",1935,6.42,340.2,5805,
"zaf",1936,6.42,334.2,6279,
"zaf",1937,6.41,328.1,6616,
"zaf",1938,6.41,322.3,6278,
"zaf",1939,6.4,316.4,6515,
"zaf",1940,6.4,310.6,6733,11020000
"zaf",1941,6.4,304.9,6837,
"zaf",1942,6.39,299.3,6839,
"zaf",1943,6.39,293.7,6787,
"zaf",1944,6.38,288.2,6817,
"zaf",1945,6.38,282.7,6789,
"zaf",1946,6.37,277.3,6821,
"zaf",1947,6.37,272,6690,
"zaf",1948,6.36,266.7,6994,
"zaf",1949,6.36,261.5,6880,
"zaf",1950,6.35,256.4,7217,13680000
"zaf",1951,6.34,252.2,7316,13990000
"zaf",1952,6.31,244.5,7335,14320000
"zaf",1953,6.29,237.4,7435,14670000
"zaf",1954,6.26,230.2,7623,15020000
"zaf",1955,6.25,223.6,7752,15380000
"zaf",1956,6.23,217.8,7928,15760000
"zaf",1957,6.22,211.7,7978,16150000
"zaf",1958,6.21,205.5,7897,16550000
"zaf",1959,6.19,200.2,8001,16960000
"zaf",1960,6.17,194.9,8080,17400000
"zaf",1961,6.14,189.7,8175,17850000
"zaf",1962,6.1,184.6,8365,18320000
"zaf",1963,6.05,179.6,8701,18810000
"zaf",1964,5.98,174.6,9004,19310000
"zaf",1965,5.91,169.5,9255,19810000
"zaf",1966,5.84,164.6,9371,20330000
"zaf",1967,5.77,159.8,9720,20840000
"zaf",1968,5.7,155.2,9849,21370000
"zaf",1969,5.64,150.8,10160,21930000
"zaf",1970,5.59,146.4,10390,22500000
"zaf",1971,5.54,142.2,10650,23110000
"zaf",1972,5.48,138.1,10620,23740000
"zaf",1973,5.42,134.1,10810,24380000
"zaf",1974,5.34,130.2,11160,25040000
"zaf",1975,5.25,123.1,11120,25700000
"zaf",1976,5.16,116.7,11140,26350000
"zaf",1977,5.06,110.4,10870,27010000
"zaf",1978,4.97,104.6,10950,27670000
"zaf",1979,4.88,99.1,11130,28360000
"zaf",1980,4.79,93.8,11580,29080000
"zaf",1981,4.7,89,11840,29830000
"zaf",1982,4.6,84.6,11460,30610000
"zaf",1983,4.5,80.6,10930,31410000
"zaf",1984,4.4,76.9,11150,32200000
"zaf",1985,4.29,73.5,10700,32980000
"zaf",1986,4.18,70.5,10470,33730000
"zaf",1987,4.05,67.7,10460,34460000
"zaf",1988,3.92,65.3,10670,35200000
"zaf",1989,3.79,63.2,10670,35970000
"zaf",1990,3.66,61.5,10360,36790000
"zaf",1991,3.53,60.3,10050,37690000
"zaf",1992,3.41,59.8,9631,38650000
"zaf",1993,3.3,60.1,9546,39620000
"zaf",1994,3.2,61,9643,40560000
"zaf",1995,3.11,62.6,9730,41430000
"zaf",1996,3.04,64.7,9925,42210000
"zaf",1997,2.98,67.3,9952,42920000
"zaf",1998,2.94,69.8,9770,43580000
"zaf",1999,2.9,72.1,9766,44230000
"zaf",2000,2.87,74,9927,44900000
"zaf",2001,2.83,75.5,9988,45580000
"zaf",2002,2.8,76.3,10210,46270000
"zaf",2003,2.76,78,10380,46970000
"zaf",2004,2.72,76.9,10720,47670000
"zaf",2005,2.68,75.2,11130,48350000
"zaf",2006,2.63,72.8,11600,49030000
"zaf",2007,2.58,70.1,12050,49690000
"zaf",2008,2.54,66.1,12260,50350000
"zaf",2009,2.5,61.8,11900,50990000
"zaf",2010,2.47,54.4,12090,51620000
"zaf",2011,2.44,50.6,12290,52240000
"zaf",2012,2.41,47.8,12380,52840000
"zaf",2013,2.39,45.1,12450,53420000
"zaf",2014,2.36,43.3,12450,53970000
"zaf",2015,2.34,42.1,12510,54490000
