province_from,province_to,black,coloured,indian_asian,white,other,total
1,1,1557385.454,2741987.382,48029.88599,749866.5595,61046.62134,5158315.903
1,2,28850.70838,4020.4604,227.82464,6798.9869,253.65403,40151.63435
1,3,1694.88941,5368.98416,131.92367,3185.71916,184.39348,10565.90988
1,4,1516.5036,800.61747,44.30809,2767.29328,26.07567,5154.79811
1,5,2848.09943,1050.86642,710.11973,4526.61154,84.8391,9220.53622
1,6,1903.11497,542.5583,140.6664,2390.9049,61.82058,5039.06515
1,7,18222.76214,7185.7255,2108.77775,22449.37126,727.10031,50693.73696
1,8,1314.90442,723.99686,87.37961,2605.86587,26.41129,4758.55805
1,9,1502.92297,429.02746,43.50495,1376.72675,29.02762,3381.20975
1,10,1558.51952,245.99754,124.66492,1820.97113,973.07699,4723.2301
2,1,151572.6201,6751.22509,479.42928,11235.26588,790.33195,170828.8723
2,2,5433679.803,521309.6948,21519.05832,261970.6769,11655.5451,6250134.778
2,3,3319.44153,790.40594,29.81451,856.20239,85.36874,5081.23311
2,4,12240.51347,639.6853,94.58659,2492.52527,74.22156,15541.53219
2,5,68132.80685,1058.46942,938.22376,3452.05592,249.07047,73830.62642
2,6,30312.34208,245.10029,95.65689,1631.80688,55.88456,32340.7907
2,7,100348.2466,3199.41179,1487.6222,12465.97772,463.04359,117964.3019
2,8,9807.02909,308.96807,82.00827,1724.85678,78.37382,12001.23603
2,9,7941.35939,106.98936,73.27983,734.13672,20.98454,8876.74984
2,10,1415.36497,16.40572,80.56461,289.99969,421.91383,2224.24882
3,1,3203.01161,8225.36387,128.22984,5792.96561,227.57717,17577.1481
3,2,2232.56011,705.42671,48.37428,1032.87396,58.07295,4077.30801
3,3,529167.1756,441920.2206,5741.51287,63851.97154,14160.59401,1054841.475
3,4,3479.00984,1693.32979,76.2201,3261.67321,48.39439,8558.62733
3,5,3944.41842,254.60724,510.09521,922.13834,76.34892,5707.60813
3,6,7607.04454,1194.71277,76.78315,2525.26982,73.96773,11477.77801
3,7,9015.26062,2507.7242,377.38264,3986.55425,131.9591,16018.88081
3,8,1912.43605,532.76335,38.10031,1698.50747,19.87306,4201.68024
3,9,858.56911,291.09184,24.62963,722.41415,9.94832,1906.65305
3,10,238.66313,33.63861,45.78577,64.21179,71.91585,454.21515
4,1,4648.85313,730.0438,117.54353,6997.09996,150.66864,12644.20906
4,2,4479.24978,407.76291,98.91558,3060.34115,108.29066,8154.56008
4,3,3645.27136,916.98066,74.36685,2354.43222,111.6486,7102.69969
4,4,2246636.001,74487.35701,5015.39672,195371.9976,2771.1999,2524281.952
4,5,5079.59282,191.97767,385.08568,3143.39771,81.13463,8881.18851
4,6,16356.13491,521.75237,108.39712,7016.73456,87.03092,24090.04988
