geo,time,rate,bachelor_after_matric_proportion
Black African,2016,0.057709482,5.77094822
Black African,2015,0.05986252,5.986251961
Black African,2014,0.062667439,6.266743882
Black African,2013,0.065523597,6.55235972
Black African,2012,0.06985907,6.985907004
Black African,2011,0.073855362,7.385536173
Black African,2010,0.078224747,7.822474663
Black African,2009,0.083321854,8.332185438
Black African,2008,0.088626543,8.862654291
Black African,2007,0.0933151,9.331510006
Black African,2006,0.098546768,9.854676765
Black African,2005,0.104060491,10.40604913
Black African,2004,0.109583298,10.95832984
Black African,2003,0.115056375,11.50563746
Black African,2002,0.121029344,12.10293438
Black African,2001,0.124172271,12.41722709
Black African,2000,0.129424929,12.94249288
Black African,1999,0.133570794,13.35707937
Black African,1998,0.136388965,13.63889655
Black African,1997,0.138302476,13.83024757
Black African,1996,0.140329854,14.03298536
Black African,1995,0.143249721,14.32497205
Black African,1994,0.145196086,14.51960861
Black African,1993,0.14861665,14.861665
Black African,1992,0.149396962,14.93969623
Black African,1991,0.149585812,14.9585812
Black African,1990,0.151665774,15.16657741
Black African,1989,0.150890594,15.08905937
Black African,1988,0.149434755,14.94347553
Black African,1987,0.152043663,15.20436627
Black African,1986,0.153371131,15.33711313
Black African,1985,0.154176926,15.41769264
Black African,1984,0.150543668,15.05436676
Black African,1983,0.147128404,14.7128404
Black African,1982,0.142813946,14.28139462
Black African,1981,0.138770735,13.87707353
Black African,1980,0.137712352,13.77123525
Black African,1979,0.139046116,13.90461164
Black African,1978,0.13278706,13.27870599
Black African,1977,0.134303833,13.43038328
Black African,1976,0.128356506,12.83565058
Black African,1975,0.122247528,12.22475282
Black African,1974,0.117454918,11.74549177
Black African,1973,0.111108311,11.11083107
Black African,1972,0.110861098,11.0861098
Black African,1971,0.107388336,10.73883359
Black African,1970,0.107993713,10.79937126
Black African,1969,0.101118237,10.11182372
Black African,1968,0.092443195,9.244319548
Black African,1967,0.09549519,9.549518968
Black African,1966,0.090828917,9.082891736
Black African,1965,0.095014056,9.501405584
Black African,1964,0.092775822,9.277582169
Black African,1963,0.099133781,9.91337807
Black African,1962,0.11308113,11.30811302
Black African,1961,0.109125033,10.91250327
Coloured,2016,0.059785834,5.978583361
Coloured,2015,0.058442812,5.84428116
Coloured,2014,0.060652423,6.065242334
Coloured,2013,0.062754489,6.275448853
Coloured,2012,0.067204986,6.720498647
Coloured,2011,0.069332835,6.933283519
Coloured,2010,0.070777232,7.077723171
Coloured,2009,0.075402748,7.540274794
Coloured,2008,0.080271692,8.027169198
Coloured,2007,0.085427138,8.542713773
Coloured,2006,0.088520881,8.85208814
Coloured,2005,0.091021109,9.102110904
Coloured,2004,0.095340173,9.534017281
Coloured,2003,0.096789146,9.678914603
Coloured,2002,0.099052365,9.905236528
Coloured,2001,0.096238248,9.623824803
Coloured,2000,0.097187996,9.718799582
Coloured,1999,0.098401466,9.840146622
Coloured,1998,0.095730642,9.573064196
Coloured,1997,0.091660276,9.16602763
Coloured,1996,0.087716992,8.771699175
Coloured,1995,0.08931592,8.931592045
Coloured,1994,0.092529453,9.252945345
Coloured,1993,0.09424873,9.424873022
Coloured,1992,0.095252729,9.525272923
Coloured,1991,0.090205341,9.02053414
Coloured,1990,0.096523106,9.652310578
Coloured,1989,0.095947266,9.594726595
Coloured,1988,0.101525481,10.15254807
Coloured,1987,0.105025772,10.5025772
Coloured,1986,0.105296164,10.52961636
Coloured,1985,0.108527384,10.8527384
Coloured,1984,0.117280686,11.72806864
