year,municipality,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,top_ch
2015,160,6,5,7,3,8,10,2,4,13,1,,14,9,12,16,18,17,19,15,11,ch10
2015,161,10,1,6,3,12,14,2,7,19,5,18,8,4,11,20,15,17,16,13,9,ch2
2015,162,4,1,8,3,9,7,5,11,17,13,18,14,6,12,20,16,15,19,10,2,ch2
2015,163,8,4,5,2,7,17,3,11,16,1,20,9,6,15,19,18,13,14,12,10,ch10
2015,164,3,8,14,2,13,15,1,5,12,7,16,6,4,9,11,20,19,17,18,10,ch7
2015,165,4,2,6,3,11,8,1,12,16,5,19,10,13,18,14,17,15,20,9,7,ch7
2015,166,11,8,6,1,14,16,5,10,15,4,17,2,3,13,7,18,19,20,12,9,ch4
2015,167,9,6,4,1,8,13,2,12,17,7,18,3,5,15,16,20,19,10,14,11,ch4
2015,168,11,4,13,3,7,15,1,5,19,6,18,2,10,12,9,17,16,20,14,8,ch7
2015,169,12,4,10,1,13,18,2,6,20,3,15,9,7,8,16,17,11,19,14,5,ch4
2015,170,6,1,15,2,17,12,4,5,16,3,,8,7,9,,14,18,13,11,10,ch2
2015,171,9,6,11,3,8,19,1,4,13,5,16,7,2,14,20,12,15,18,17,10,ch7
2015,172,10,3,9,1,5,12,2,11,13,4,18,6,8,14,19,17,16,20,15,7,ch4
2015,173,10,2,12,1,13,16,3,7,11,9,15,4,8,18,17,19,20,14,6,5,ch4
2015,174,1,2,7,3,9,14,4,6,13,5,,11,12,,,,,,10,8,ch1
2015,175,12,7,10,1,9,8,3,2,16,4,17,11,5,19,18,14,13,,15,6,ch4
2015,176,6,2,7,1,8,14,3,11,20,5,16,9,4,15,17,12,19,18,13,10,ch4
2015,177,13,5,12,2,10,18,3,6,15,1,19,4,7,14,8,20,17,16,9,11,ch10
2015,178,9,3,8,1,10,11,2,4,12,6,20,17,15,13,16,14,19,18,5,7,ch4
2015,179,12,7,3,1,8,15,4,9,6,2,19,5,11,17,16,20,14,18,13,10,ch4
2015,180,5,9,7,4,11,13,1,2,16,3,20,6,8,15,18,14,17,19,12,10,ch7
2015,181,13,9,11,3,7,15,6,10,,2,12,17,1,8,5,,16,,14,4,ch13
2015,182,5,1,8,6,3,10,13,7,11,2,,,,12,,,,,9,4,ch2
2015,183,3,2,11,1,7,14,10,8,16,6,18,9,15,13,12,19,17,20,5,4,ch4
2015,199,9,6,10,2,8,16,4,15,14,3,19,1,5,13,7,17,20,18,11,12,ch12
2015,260,7,9,5,1,10,8,2,4,14,3,16,6,12,17,18,19,15,20,11,13,ch4
2015,261,7,2,13,6,9,10,3,12,17,1,18,4,5,14,16,,,15,8,11,ch10
2015,262,8,4,9,6,3,12,2,5,11,1,,7,13,14,,,16,17,10,15,ch10
2015,263,1,16,3,2,5,17,4,7,8,10,,13,11,9,19,14,12,18,6,15,ch1
2015,264,1,8,14,6,5,11,4,2,12,3,19,7,15,13,18,16,17,20,9,10,ch1
2015,265,4,11,7,6,5,14,1,3,13,2,16,8,10,15,,18,17,,9,12,ch7
2015,266,1,11,6,9,4,10,2,3,5,8,,7,14,15,,,,16,13,12,ch1
2015,267,,8,4,1,5,15,3,6,10,2,9,12,14,7,,,,16,11,13,ch4
2015,268,6,12,3,5,9,14,2,1,11,4,19,8,7,16,13,18,15,,10,17,ch8
2015,269,1,13,11,4,9,16,3,6,12,5,15,8,2,10,17,19,18,20,14,7,ch1
2015,270,1,8,3,9,6,16,4,2,17,5,13,7,15,14,20,19,12,18,10,11,ch1
2015,271,1,7,6,11,5,13,3,2,12,4,15,8,10,16,20,19,9,17,14,18,ch1
2015,272,4,7,5,8,6,12,1,2,13,3,19,10,14,11,,17,9,18,15,16,ch7
2015,273,4,6,8,9,5,16,1,3,11,2,15,7,10,18,20,19,12,14,13,17,ch7
2015,274,3,10,6,7,5,17,4,2,9,1,18,8,11,16,20,19,13,14,15,12,ch10
2015,276,2,8,9,7,5,14,4,3,13,1,18,6,10,12,20,19,17,15,11,16,ch10
2015,277,8,15,11,16,10,7,2,5,3,1,12,4,9,13,17,,14,,6,18,ch10
2015,278,1,6,8,3,4,15,9,5,7,2,18,12,11,14,17,19,16,20,13,10,ch1
2015,279,1,16,5,9,4,14,6,3,7,2,15,8,19,12,17,,18,13,10,11,ch1
2015,280,1,6,3,11,8,15,4,5,7,2,19,14,13,12,16,18,17,,10,9,ch1
2015,281,1,6,7,5,9,13,4,3,10,2,16,8,12,15,18,20,17,19,11,14,ch1
2015,282,2,13,6,7,4,18,5,1,16,3,14,8,10,11,20,19,9,15,12,17,ch8
2015,283,1,6,7,8,3,14,5,2,13,4,18,9,11,12,19,20,10,16,15,17,ch1
2015,284,1,5,6,9,4,14,7,2,16,3,12,11,18,15,,19,8,10,17,13,ch1
2015,285,3,5,9,8,4,12,6,1,13,2,17,7,14,16,19,20,11,15,10,18,ch8
2015,286,1,7,2,8,5,15,4,3,20,6,19,12,18,14,13,16,11,10,17,9,ch1
2015,287,1,4,6,9,7,12,5,3,14,2,11,8,18,19,20,16,15,17,13,10,ch1
2015,288,8,10,1,2,3,12,7,5,11,4,,14,15,9,18,16,17,19,6,13,ch3
2015,289,1,7,9,3,10,11,6,8,4,2,18,5,17,15,,16,,14,12,13,ch1
2015,290,1,5,6,8,7,14,2,3,15,4,13,9,20,17,16,19,12,10,11,18,ch1
2015,291,1,7,4,8,6,18,2,3,16,5,11,9,10,13,15,20,12,14,17,19,ch1
2015,292,1,6,5,7,8,18,2,4,19,3,16,10,11,13,20,17,12,14,15,9,ch1
2015,293,1,6,5,10,7,16,4,2,17,3,12,8,9,11,19,20,13,14,18,15,ch1
2015,294,1,7,3,6,9,14,2,5,11,4,16,8,13,18,19,20,12,17,10,15,ch1
2015,295,1,6,2,8,7,14,4,3,11,5,13,9,19,16,20,15,10,18,17,12,ch1
2015,296,1,9,2,7,6,14,3,5,15,4,17,8,13,11,,16,10,12,18,19,ch1
2015,297,1,7,3,8,6,11,2,4,16,5,9,10,18,17,14,20,12,15,19,13,ch1
2015,298,1,6,2,7,8,14,3,4,18,5,15,19,16,9,,13,12,11,17,10,ch1
2015,299,6,4,11,1,9,14,3,8,15,2,17,5,13,18,10,19,16,20,7,12,ch4
2015,360,1,6,5,11,10,19,4,2,7,3,13,14,20,12,18,17,9,16,15,8,ch1
2015,361,1,9,4,8,6,15,5,3,7,2,14,13,20,18,19,17,12,16,11,10,ch1
2015,362,2,1,8,5,9,16,6,3,12,4,,7,10,11,18,,14,17,13,15,ch2
2015,363,4,12,16,7,10,8,11,9,6,1,,15,2,3,,,14,,13,5,ch10
2015,364,3,2,10,1,9,15,8,6,4,7,17,11,12,16,,19,14,18,13,5,ch4
