municipality,difficulty,difficulty_rank,households,percent
160,10,1,1 984,15.6
160,7,2,1 572,12.4
160,4,3,1 536,12.1
160,8,4,1 318,10.4
160,2,5,976,7.7
160,1,6,869,6.8
160,3,7,769,6.1
160,5,8,727,5.7
160,13,9,685,5.4
160,6,10,640,5
160,20,11,603,4.7
160,14,12,247,1.9
160,9,13,234,1.8
160,12,14,224,1.8
160,19,15,147,1.2
160,15,16,73,0.6
160,17,17,47,0.4
160,16,18,31,0.2
160,18,19,26,0.2
161,2,1,2 356,18.2
161,7,2,2 078,16
161,4,3,1 788,13.8
161,13,4,1 255,9.7
161,10,5,1 148,8.9
161,3,6,817,6.3
161,8,7,479,3.7
161,12,8,459,3.5
161,20,9,429,3.3
161,1,10,408,3.2
161,14,11,396,3.1
161,5,12,360,2.8
161,19,13,351,2.7
161,6,14,258,2
161,16,15,120,0.9
161,18,16,100,0.8
161,17,17,76,0.6
161,11,18,44,0.3
161,9,19,24,0.2
161,15,20,2,0
162,2,1,2 492,26.9
162,20,2,1 784,19.3
162,4,3,1 713,18.5
162,1,4,611,6.6
162,7,5,608,6.6
162,13,6,331,3.6
162,6,7,330,3.6
162,3,8,238,2.6
162,5,9,225,2.4
162,19,10,217,2.3
162,8,11,152,1.6
162,14,12,103,1.1
162,10,13,100,1.1
162,12,14,82,0.9
162,17,15,80,0.9
162,16,16,60,0.7
162,9,17,59,0.6
162,11,18,40,0.4
162,18,19,17,0.2
162,15,20,15,0.2
163,10,1,5 095,16.6
163,4,2,4 770,15.5
163,7,3,3 987,13
163,2,4,3 313,10.8
163,3,5,2 147,7
163,13,6,2 032,6.6
163,5,7,1 810,5.9
163,1,8,1 736,5.7
163,12,9,1 559,5.1
163,20,10,835,2.7
163,8,11,800,2.6
163,19,12,416,1.4
163,17,13,349,1.1
163,18,14,315,1
163,14,15,307,1
163,9,16,303,1
163,6,17,282,0.9
163,16,18,243,0.8
163,15,19,230,0.8
163,11,20,154,0.5
164,7,1,5 101,19.6
164,4,2,4 957,19.1
164,1,3,2 547,9.8
164,13,4,2 324,8.9
164,8,5,1 874,7.2
164,12,6,1 823,7
164,10,7,1 776,6.8
164,2,8,1 017,3.9
164,14,9,930,3.6
164,20,10,803,3.1
164,15,11,409,1.6
164,9,12,384,1.5
164,5,13,364,1.4
164,3,14,363,1.4
164,6,15,336,1.3
164,11,16,230,0.9
164,18,17,213,0.8
164,19,18,200,0.8
164,17,19,181,0.7
164,16,20,163,0.6
165,7,1,2 545,14.6
165,2,2,2 379,13.7
165,4,3,2 222,12.8
165,1,4,2 107,12.1
165,10,5,1 409,8.1
165,3,6,1 192,6.9
165,20,7,953,5.5
165,6,8,855,4.9
165,19,9,744,4.3
165,12,10,583,3.4
165,5,11,554,3.2
165,8,12,449,2.6
165,13,13,302,1.7
165,15,14,296,1.7
165,17,15,217,1.3
165,9,16,172,1
165,16,17,144,0.8
165,14,18,137,0.8
165,11,19,88,0.5
165,18,20,24,0.1
166,4,1,17 847,31
166,12,2,8 638,15
166,13,3,5 259,9.1
166,10,4,3 578,6.2
166,7,5,3 490,6.1
166,3,6,3 257,5.7
166,15,7,2 925,5.1
166,2,8,2 481,4.3
166,20,9,1 880,3.3
166,8,10,1 815,3.2
166,1,11,1 348,2.3
166,19,12,1 333,2.3
166,14,13,1 054,1.8
166,5,14,807,1.4
166,9,15,582,1
166,6,16,313,0.5
166,11,17,310,0.5
166,16,18,200,0.3
166,17,19,195,0.3
166,18,20,171,0.3
167,4,1,9 938,21.6
167,7,2,9 657,21
167,12,3,4 146,9
167,3,4,3 711,8.1
167,13,5,3 438,7.5
167,2,6,3 426,7.5
167,10,7,2 383,5.2
167,5,8,2 003,4.4
167,1,9,1 831,4
167,18,10,925,2
167,20,11,765,1.7
167,8,12,696,1.5
167,6,13,609,1.3
167,19,14,601,1.3
167,14,15,558,1.2
167,15,16,471,1
167,9,17,326,0.7
167,11,18,225,0.5
167,17,19,166,0.4
167,16,20,97,0.2
168,7,1,6 961,18.8
168,12,2,5 303,14.3
168,4,3,3 887,10.5
168,2,4,3 616,9.8
168,8,5,3 311,8.9
168,10,6,2 925,7.9
168,5,7,1 637,4.4
168,20,8,1 520,4.1
168,15,9,1 496,4
168,13,10,1 423,3.8
168,1,11,1 195,3.2
168,14,12,881,2.4
168,3,13,873,2.4
168,19,14,640,1.7
168,6,15,411,1.1
168,17,16,356,1
168,16,17,299,0.8
168,11,18,164,0.4
168,9,19,139,0.4
168,18,20,36,0.1
169,4,1,3 671,20
169,7,2,3 086,16.8
169,10,3,2 384,13
169,2,4,2 189,11.9
169,20,5,1 649,9
169,8,6,1 208,6.6
169,13,7,896,4.9
169,14,8,814,4.4
169,12,9,466,2.5
169,3,10,385,2.1
169,17,11,365,2
169,1,12,303,1.6
169,5,13,269,1.5
169,19,14,267,1.5
169,11,15,121,0.7
169,15,16,107,0.6
169,16,17,65,0.4
169,6,18,52,0.3
169,18,19,35,0.2
169,9,20,34,0.2
170,2,1,2 651,31.4
170,4,2,1 792,21.2
170,10,3,800,9.5
170,7,4,757,9
170,8,5,698,8.3
170,1,6,455,5.4
170,13,7,254,3
