Province from,Province to,Sex,Age group,Absolute flow
1,0,1,1,662.72
2,0,1,1,363.83
3,0,1,1,76.77
4,0,1,1,318.95
5,0,1,1,705.09
6,0,1,1,462.71
7,0,1,1,1875.95
8,0,1,1,365.13
9,0,1,1,351.99
1,0,2,1,561.34
2,0,2,1,308.17
3,0,2,1,65.02
4,0,2,1,270.16
5,0,2,1,597.22
6,0,2,1,391.92
7,0,2,1,1588.96
8,0,2,1,309.27
9,0,2,1,298.14
1,0,1,2,3288.34
2,0,1,2,1805.27
3,0,1,2,380.91
4,0,1,2,1582.59
5,0,1,2,3498.58
6,0,1,2,2295.89
7,0,1,2,9308.22
8,0,1,2,1811.74
9,0,1,2,1746.55
1,0,2,2,2785.27
2,0,2,2,1529.09
3,0,2,2,322.63
4,0,2,2,1340.48
5,0,2,2,2963.34
6,0,2,2,1944.66
7,0,2,2,7884.20
8,0,2,2,1534.57
9,0,2,2,1479.35
1,0,1,3,2938.67
2,0,1,3,1613.30
3,0,1,3,340.40
4,0,1,3,1414.31
5,0,1,3,3126.55
6,0,1,3,2051.76
7,0,1,3,8318.42
8,0,1,3,1619.08
9,0,1,3,1560.83
1,0,2,3,2489.10
2,0,2,3,1366.49
3,0,2,3,288.33
4,0,2,3,1197.94
5,0,2,3,2648.23
6,0,2,3,1737.87
7,0,2,3,7045.82
8,0,2,3,1371.39
9,0,2,3,1322.05
1,0,1,4,266.13
2,0,1,4,146.10
3,0,1,4,30.83
4,0,1,4,128.08
5,0,1,4,283.15
6,0,1,4,185.81
7,0,1,4,753.34
8,0,1,4,146.63
9,0,1,4,141.35
1,0,2,4,225.42
2,0,2,4,123.75
3,0,2,4,26.11
4,0,2,4,108.49
5,0,2,4,239.83
6,0,2,4,157.39
7,0,2,4,638.09
8,0,2,4,124.20
9,0,2,4,119.73
