country_emigrated_to,emmigration_flow_absolute
Andorra,116
United Arab Emirates,1 312
Afghanistan,14
Antigua and Barbuda,87
Anguilla,8
Albania,49
Armenia,111
Angola,1 165
Antarctica,46
Argentina,528
American Samoa,1 350
Austria,666
Australia,8 056
Aruba,32
Aland Islands,12
Azerbaijan,31
Bangladesh,453
Belgium,392
Burkina Faso,39
Bahrain,72
Burundi,419
Benin,20
Saint Barthelemy,16
Bermuda,49
Caribbean Netherlands,91
Brazil,693
Bouvet Island,43
Botswana,5 300
Canada,1 236
Cocos (Keeling) Islands,29
"Congo, Democratic Republic of",505
Central African Republic,371
Congo,571
Switzerland,986
Cote d Ivoire,11
Chile,18
Cameroon,115
China,1 007
Colombia,69
Cuba,1 261
Cape Verde,51
Christmas Island,29
Cyprus,71
Czech Republic,52
Germany,1 867
Djibouti,29
Denmark,183
Dominica,16
Dominican Republic,20
Estonia,9
Egypt,285
Western Sahara,25
Spain,243
Ethiopia,384
Finland,18
Fiji,38
"Micronesia, Federated States of",11
France,993
Gabon,12
United Kingdom,7 744
Grenada,47
Georgia,20
French Guiana,48
Ghana,626
Greenland,21
Guinea,14
Guadeloupe,14
Equatorial Guinea,24
Greece,83
South Georgia and the South Sandwich Islands,91
Hong Kong,273
Honduras,12
Croatia,12
Ireland,287
Israel,342
India,680
British Indian Ocean Territory,129
Iraq,61
Iran,36
Iceland,84
Italy,303
Jamaica,47
Japan,209
Kenya,145
Cambodia,17
North Korea,38
South Korea,916
Kuwait,68
Kazakhstan,14
Sri Lanka,17
Lesotho,7 921
Luxembourg,42
Libya,26
Morocco,25
Madagascar,87
Mali,26
Northern Mariana Islands,10
Martinique,67
Mauritius,217
Malawi,1 542
Mexico,61
Malaysia,159
Mozambique,11 390
Namibia,1 214
New Caledonia,58
Nigeria,972
The Netherlands,770
Norway,97
New Zealand,2 945
Oman,149
Peru,22
Pakistan,299
Poland,52
St. Pierre and Miquelon,31
Puerto Rico,22
Portugal,318
Palau,20
Qatar,576
Reunion,37
Russian Federation,197
Saudi Arabia,574
Solomon Islands,76
Seychelles,23
Sudan,251
Sweden,144
Singapore,5
San Marino,27
Senegal,111
Somalia,188
Suriname,65
South Sudan,744
Swaziland,4 001
French Southern Territories,111
Togo,35
Thailand,248
Turkey,193
Taiwan,101
Tanzania,315
Ukraine,123
Uganda,172
United States Minor Outlying Islands,25
United States,4 160
Venezuela,130
Virgin Islands (British),164
Virgin Islands (U.S.),27
Vietnam,124
Samoa,75
Mayotte,157
Zambia,1 153
Zimbabwe,11 039
