year,age,population_group,educational_attainment_4_groups,population
1996,0,Black African,No schooling/less than primary,0
1996,0,Black African,Primary,0
1996,0,Black African,Secondary,0
1996,0,Black African,Higher,0
1996,0,Black African,Under 5,698472
1996,0,Coloured,No schooling/less than primary,0
1996,0,Coloured,Primary,0
1996,0,Coloured,Secondary,0
1996,0,Coloured,Higher,0
1996,0,Coloured,Under 5,76417
1996,0,Indian or Asian,No schooling/less than primary,0
1996,0,Indian or Asian,Primary,0
1996,0,Indian or Asian,Secondary,0
1996,0,Indian or Asian,Higher,0
1996,0,Indian or Asian,Under 5,16788
1996,0,White,No schooling/less than primary,0
1996,0,White,Primary,0
1996,0,White,Secondary,0
1996,0,White,Higher,0
1996,0,White,Under 5,54071
1996,1,Black African,No schooling/less than primary,0
1996,1,Black African,Primary,0
1996,1,Black African,Secondary,0
1996,1,Black African,Higher,0
1996,1,Black African,Under 5,691100
1996,1,Coloured,No schooling/less than primary,0
1996,1,Coloured,Primary,0
1996,1,Coloured,Secondary,0
1996,1,Coloured,Higher,0
1996,1,Coloured,Under 5,72977
1996,1,Indian or Asian,No schooling/less than primary,0
1996,1,Indian or Asian,Primary,0
1996,1,Indian or Asian,Secondary,0
1996,1,Indian or Asian,Higher,0
1996,1,Indian or Asian,Under 5,16389
1996,1,White,No schooling/less than primary,0
1996,1,White,Primary,0
1996,1,White,Secondary,0
1996,1,White,Higher,0
1996,1,White,Under 5,51172
1996,2,Black African,No schooling/less than primary,0
1996,2,Black African,Primary,0
1996,2,Black African,Secondary,0
1996,2,Black African,Higher,0
1996,2,Black African,Under 5,735442
1996,2,Coloured,No schooling/less than primary,0
1996,2,Coloured,Primary,0
1996,2,Coloured,Secondary,0
1996,2,Coloured,Higher,0
1996,2,Coloured,Under 5,77565
1996,2,Indian or Asian,No schooling/less than primary,0
1996,2,Indian or Asian,Primary,0
1996,2,Indian or Asian,Secondary,0
1996,2,Indian or Asian,Higher,0
1996,2,Indian or Asian,Under 5,17123
1996,2,White,No schooling/less than primary,0
1996,2,White,Primary,0
1996,2,White,Secondary,0
1996,2,White,Higher,0
1996,2,White,Under 5,52225
1996,3,Black African,No schooling/less than primary,0
1996,3,Black African,Primary,0
1996,3,Black African,Secondary,0
1996,3,Black African,Higher,0
1996,3,Black African,Under 5,758814
1996,3,Coloured,No schooling/less than primary,0
1996,3,Coloured,Primary,0
1996,3,Coloured,Secondary,0
1996,3,Coloured,Higher,0
1996,3,Coloured,Under 5,78658
1996,3,Indian or Asian,No schooling/less than primary,0
1996,3,Indian or Asian,Primary,0
1996,3,Indian or Asian,Secondary,0
1996,3,Indian or Asian,Higher,0
1996,3,Indian or Asian,Under 5,17546
