year,age_by_1_year,population_group,population
1996,0,Black African,698472
1996,0,White,54071
1996,1,Black African,691100
1996,1,White,51172
1996,2,Black African,735442
1996,2,White,52224
1996,3,Black African,758814
1996,3,White,54134
1996,4,Black African,769175
1996,4,White,57616
1996,5,Black African,788628
1996,5,White,60225
1996,6,Black African,810542
1996,6,White,62738
1996,7,Black African,758889
1996,7,White,61728
1996,8,Black African,735702
1996,8,White,61784
1996,9,Black African,724346
1996,9,White,62699
1996,10,Black African,764046
1996,10,White,67231
1996,11,Black African,744420
1996,11,White,69576
1996,12,Black African,757482
1996,12,White,71437
1996,13,Black African,737425
1996,13,White,72684
1996,14,Black African,743307
1996,14,White,74352
1996,15,Black African,685854
1996,15,White,72528
1996,16,Black African,713589
1996,16,White,72430
1996,17,Black African,654216
1996,17,White,67824
1996,18,Black African,647433
1996,18,White,66840
1996,19,Black African,649226
1996,19,White,65157
1996,20,Black African,666494
1996,20,White,70303
1996,21,Black African,655759
1996,21,White,69690
1996,22,Black African,622239
1996,22,White,68657
1996,23,Black African,594035
1996,23,White,68533
1996,24,Black African,614556
1996,24,White,71918
1996,25,Black African,521598
1996,25,White,72290
1996,26,Black African,609245
1996,26,White,73169
1996,27,Black African,533675
1996,27,White,70407
1996,28,Black African,548672
1996,28,White,70022
1996,29,Black African,440406
1996,29,White,67088
1996,30,Black African,505308
1996,30,White,69319
1996,31,Black African,458300
1996,31,White,64349
1996,32,Black African,479686
1996,32,White,68617
1996,33,Black African,440234
1996,33,White,67218
1996,34,Black African,433974
1996,34,White,68207
1996,35,Black African,398637
1996,35,White,69598
1996,36,Black African,456480
1996,36,White,72019
1996,37,Black African,356505
1996,37,White,66983
1996,38,Black African,407602
1996,38,White,69998
1996,39,Black African,330115
1996,39,White,65754
1996,40,Black African,368295
1996,40,White,70489
1996,41,Black African,280889
1996,41,White,61961
1996,42,Black African,313122
1996,42,White,64062
1996,43,Black African,274180
1996,43,White,61321
1996,44,Black African,288899
1996,44,White,59063
1996,45,Black African,235556
1996,45,White,59285
1996,46,Black African,273240
1996,46,White,58621
1996,47,Black African,214960
1996,47,White,57083
1996,48,Black African,228915
1996,48,White,59388
1996,49,Black African,194439
1996,49,White,58493
1996,50,Black African,200607
1996,50,White,57749
1996,51,Black African,159342
1996,51,White,50211
1996,52,Black African,155183
1996,52,White,51939
1996,53,Black African,142140
1996,53,White,47407
1996,54,Black African,177828
1996,54,White,46448
1996,55,Black African,139831
1996,55,White,44871
1996,56,Black African,204111
1996,56,White,45295
1996,57,Black African,127498
1996,57,White,42014
1996,58,Black African,131332
1996,58,White,41664
