year,age,gender,educational_attainment_4_groups,population
1996,0,Male,No schooling/less than primary,0
1996,0,Male,Primary,0
1996,0,Male,Secondary,0
1996,0,Male,Higher,0
1996,0,Male,Unspecified,0
1996,0,Male,Not applicable,426858
1996,0,Female,No schooling/less than primary,0
1996,0,Female,Primary,0
1996,0,Female,Secondary,0
1996,0,Female,Higher,0
1996,0,Female,Unspecified,0
1996,0,Female,Not applicable,429380
1996,1,Male,No schooling/less than primary,0
1996,1,Male,Primary,0
1996,1,Male,Secondary,0
1996,1,Male,Higher,0
1996,1,Male,Unspecified,0
1996,1,Male,Not applicable,420510
1996,1,Female,No schooling/less than primary,0
1996,1,Female,Primary,0
1996,1,Female,Secondary,0
1996,1,Female,Higher,0
1996,1,Female,Unspecified,0
1996,1,Female,Not applicable,420659
1996,2,Male,No schooling/less than primary,0
1996,2,Male,Primary,0
1996,2,Male,Secondary,0
1996,2,Male,Higher,0
1996,2,Male,Unspecified,0
1996,2,Male,Not applicable,445069
1996,2,Female,No schooling/less than primary,0
1996,2,Female,Primary,0
1996,2,Female,Secondary,0
1996,2,Female,Higher,0
1996,2,Female,Unspecified,0
1996,2,Female,Not applicable,447110
1996,3,Male,No schooling/less than primary,0
1996,3,Male,Primary,0
1996,3,Male,Secondary,0
1996,3,Male,Higher,0
1996,3,Male,Unspecified,0
1996,3,Male,Not applicable,458432
1996,3,Female,No schooling/less than primary,0
1996,3,Female,Primary,0
1996,3,Female,Secondary,0
1996,3,Female,Higher,0
1996,3,Female,Unspecified,0
1996,3,Female,Not applicable,460519
1996,4,Male,No schooling/less than primary,0
1996,4,Male,Primary,0
1996,4,Male,Secondary,0
1996,4,Male,Higher,0
1996,4,Male,Unspecified,0
1996,4,Male,Not applicable,465893
1996,4,Female,No schooling/less than primary,0
1996,4,Female,Primary,0
1996,4,Female,Secondary,0
1996,4,Female,Higher,0
1996,4,Female,Unspecified,0
1996,4,Female,Not applicable,469190
1996,5,Male,No schooling/less than primary,442263
1996,5,Male,Primary,0
1996,5,Male,Secondary,0
1996,5,Male,Higher,15
1996,5,Male,Unspecified,39804
1996,5,Male,Not applicable,0
1996,5,Female,No schooling/less than primary,438765
1996,5,Female,Primary,0
1996,5,Female,Secondary,0
1996,5,Female,Higher,7
1996,5,Female,Unspecified,39307
1996,5,Female,Not applicable,0
1996,6,Male,No schooling/less than primary,464922
1996,6,Male,Primary,0
1996,6,Male,Secondary,0
1996,6,Male,Higher,9
1996,6,Male,Unspecified,29376
1996,6,Male,Not applicable,0
1996,6,Female,No schooling/less than primary,463280
1996,6,Female,Primary,0
1996,6,Female,Secondary,0
1996,6,Female,Higher,3
1996,6,Female,Unspecified,28943
1996,6,Female,Not applicable,0
1996,7,Male,No schooling/less than primary,443247
1996,7,Male,Primary,0
1996,7,Male,Secondary,0
1996,7,Male,Higher,10
1996,7,Male,Unspecified,22259
1996,7,Male,Not applicable,0
1996,7,Female,No schooling/less than primary,441574
1996,7,Female,Primary,0
1996,7,Female,Secondary,0
1996,7,Female,Higher,10
1996,7,Female,Unspecified,22304
1996,7,Female,Not applicable,0
1996,8,Male,No schooling/less than primary,428849
1996,8,Male,Primary,1350
1996,8,Male,Secondary,0
1996,8,Male,Higher,8
1996,8,Male,Unspecified,18310
1996,8,Male,Not applicable,0
1996,8,Female,No schooling/less than primary,434534
1996,8,Female,Primary,1435
1996,8,Female,Secondary,0
1996,8,Female,Higher,9
1996,8,Female,Unspecified,18154
1996,8,Female,Not applicable,0
1996,9,Male,No schooling/less than primary,423526
1996,9,Male,Primary,3304
1996,9,Male,Secondary,0
1996,9,Male,Higher,10
1996,9,Male,Unspecified,16303
1996,9,Male,Not applicable,0
1996,9,Female,No schooling/less than primary,427329
1996,9,Female,Primary,3589
1996,9,Female,Secondary,0
1996,9,Female,Higher,3
1996,9,Female,Unspecified,15914
1996,9,Female,Not applicable,0
1996,10,Male,No schooling/less than primary,447085
1996,10,Male,Primary,6557
1996,10,Male,Secondary,0
1996,10,Male,Higher,14
1996,10,Male,Unspecified,14817
1996,10,Male,Not applicable,0
1996,10,Female,No schooling/less than primary,451273
1996,10,Female,Primary,7636
1996,10,Female,Secondary,0
1996,10,Female,Higher,10
1996,10,Female,Unspecified,14567
1996,10,Female,Not applicable,0
1996,11,Male,No schooling/less than primary,434659
1996,11,Male,Primary,13129
1996,11,Male,Secondary,0
1996,11,Male,Higher,8
1996,11,Male,Unspecified,13105
1996,11,Male,Not applicable,0
1996,11,Female,No schooling/less than primary,433362
1996,11,Female,Primary,16890
1996,11,Female,Secondary,0
1996,11,Female,Higher,3
1996,11,Female,Unspecified,12745
1996,11,Female,Not applicable,0
1996,12,Male,No schooling/less than primary,411572
1996,12,Male,Primary,43470
1996,12,Male,Secondary,0
1996,12,Male,Higher,8
1996,12,Male,Unspecified,12668
1996,12,Male,Not applicable,0
1996,12,Female,No schooling/less than primary,397786
1996,12,Female,Primary,63285
1996,12,Female,Secondary,0
1996,12,Female,Higher,4
1996,12,Female,Unspecified,12389
1996,12,Female,Not applicable,0
1996,13,Male,No schooling/less than primary,329164
1996,13,Male,Primary,116008
1996,13,Male,Secondary,0
1996,13,Male,Higher,6
1996,13,Male,Unspecified,10492
1996,13,Male,Not applicable,0
1996,13,Female,No schooling/less than primary,291468
1996,13,Female,Primary,163902
1996,13,Female,Secondary,0
1996,13,Female,Higher,6
1996,13,Female,Unspecified,10382
1996,13,Female,Not applicable,0
1996,14,Male,No schooling/less than primary,243242
1996,14,Male,Primary,201807
1996,14,Male,Secondary,619
1996,14,Male,Higher,7
1996,14,Male,Unspecified,10324
1996,14,Male,Not applicable,0
1996,14,Female,No schooling/less than primary,194255
1996,14,Female,Primary,264929
1996,14,Female,Secondary,692
1996,14,Female,Higher,6
1996,14,Female,Unspecified,9750
1996,14,Female,Not applicable,0
1996,15,Male,No schooling/less than primary,167671
