geo,time,gender,age,population
zaf,1996,Male,0,426858
zaf,1996,Male,1,420510
zaf,1996,Male,2,445069
zaf,1996,Male,3,458432
zaf,1996,Male,4,465893
zaf,1996,Male,5,482082
zaf,1996,Male,6,494306
zaf,1996,Male,7,465516
zaf,1996,Male,8,448516
zaf,1996,Male,9,443142
zaf,1996,Male,10,468473
zaf,1996,Male,11,460900
zaf,1996,Male,12,467717
zaf,1996,Male,13,455669
zaf,1996,Male,14,455999
zaf,1996,Male,15,423965
zaf,1996,Male,16,437042
zaf,1996,Male,17,401661
zaf,1996,Male,18,394509
zaf,1996,Male,19,393037
zaf,1996,Male,20,403002
zaf,1996,Male,21,398579
zaf,1996,Male,22,377822
zaf,1996,Male,23,362160
zaf,1996,Male,24,376356
zaf,1996,Male,25,331605
zaf,1996,Male,26,376891
zaf,1996,Male,27,332443
zaf,1996,Male,28,338984
zaf,1996,Male,29,283141
zaf,1996,Male,30,314978
zaf,1996,Male,31,288919
zaf,1996,Male,32,300779
zaf,1996,Male,33,280684
zaf,1996,Male,34,278139
zaf,1996,Male,35,264297
zaf,1996,Male,36,295954
zaf,1996,Male,37,234005
zaf,1996,Male,38,264389
zaf,1996,Male,39,226312
zaf,1996,Male,40,245647
zaf,1996,Male,41,192801
zaf,1996,Male,42,212074
zaf,1996,Male,43,185295
zaf,1996,Male,44,194780
zaf,1996,Male,45,170274
zaf,1996,Male,46,185509
zaf,1996,Male,47,153298
zaf,1996,Male,48,160671
zaf,1996,Male,49,144064
zaf,1996,Male,50,143472
zaf,1996,Male,51,116203
zaf,1996,Male,52,115211
zaf,1996,Male,53,103271
zaf,1996,Male,54,122319
zaf,1996,Male,55,101309
zaf,1996,Male,56,127247
zaf,1996,Male,57,87854
zaf,1996,Male,58,89083
zaf,1996,Male,59,78185
zaf,1996,Male,60,92778
zaf,1996,Male,61,64876
zaf,1996,Male,62,62296
zaf,1996,Male,63,65727
zaf,1996,Male,64,66376
zaf,1996,Male,65,69326
zaf,1996,Male,66,73331
zaf,1996,Male,67,59112
zaf,1996,Male,68,55019
zaf,1996,Male,69,47225
zaf,1996,Male,70,52975
zaf,1996,Male,71,41726
zaf,1996,Male,72,39161
zaf,1996,Male,73,29291
zaf,1996,Male,74,31966
zaf,1996,Male,75,33607
zaf,1996,Male,76,37797
zaf,1996,Male,77,24008
zaf,1996,Male,78,32584
zaf,1996,Male,79,13848
zaf,1996,Male,80,15350
zaf,1996,Male,81,11427
zaf,1996,Male,82,17298
zaf,1996,Male,83,8490
zaf,1996,Male,84,9507
zaf,1996,Male,85,7790
zaf,1996,Male,86,9683
zaf,1996,Male,87,4511
zaf,1996,Male,88,3557
zaf,1996,Male,89,3322
zaf,1996,Male,90,3201
zaf,1996,Male,91,1932
zaf,1996,Male,92,1828
zaf,1996,Male,93,1308
zaf,1996,Male,94,1662
zaf,1996,Male,95,1842
zaf,1996,Male,96,837
zaf,1996,Male,97,209
zaf,1996,Male,98,180
zaf,1996,Male,99,876
zaf,1996,Male,100,154
zaf,1996,Male,101,72
zaf,1996,Male,102,42
zaf,1996,Male,103,24
zaf,1996,Male,104,40
zaf,1996,Male,105,32
zaf,1996,Male,106,26
zaf,1996,Male,107,15
zaf,1996,Male,108,19
zaf,1996,Male,109,11
zaf,1996,Male,110,18
zaf,1996,Male,111,6
zaf,1996,Male,112,6
zaf,1996,Male,113,1
zaf,1996,Male,114,7
zaf,1996,Male,115,6
zaf,1996,Male,116,13
zaf,1996,Female,0,429380
zaf,1996,Female,1,420659
zaf,1996,Female,2,447110
zaf,1996,Female,3,460519
zaf,1996,Female,4,469190
zaf,1996,Female,5,478078
zaf,1996,Female,6,492227
zaf,1996,Female,7,463888
zaf,1996,Female,8,454132
zaf,1996,Female,9,446834
zaf,1996,Female,10,473486
zaf,1996,Female,11,462999
zaf,1996,Female,12,473465
zaf,1996,Female,13,465758
zaf,1996,Female,14,469632
zaf,1996,Female,15,436213
zaf,1996,Female,16,452416
zaf,1996,Female,17,415609
zaf,1996,Female,18,414464
zaf,1996,Female,19,411801
zaf,1996,Female,20,428639
zaf,1996,Female,21,422639
zaf,1996,Female,22,408280
zaf,1996,Female,23,396280
zaf,1996,Female,24,408597
zaf,1996,Female,25,355640
zaf,1996,Female,26,400144
zaf,1996,Female,27,361097
zaf,1996,Female,28,368994
zaf,1996,Female,29,306789
zaf,1996,Female,30,353040
zaf,1996,Female,31,314407
zaf,1996,Female,32,334352
zaf,1996,Female,33,306861
zaf,1996,Female,34,302043
zaf,1996,Female,35,281133
zaf,1996,Female,36,312758
zaf,1996,Female,37,256491
zaf,1996,Female,38,284464
zaf,1996,Female,39,233953
zaf,1996,Female,40,263358
zaf,1996,Female,41,206154
zaf,1996,Female,42,227014
zaf,1996,Female,43,205869
zaf,1996,Female,44,205634
zaf,1996,Female,45,177271
zaf,1996,Female,46,197475
zaf,1996,Female,47,163835
zaf,1996,Female,48,173974
zaf,1996,Female,49,151155
zaf,1996,Female,50,158699
zaf,1996,Female,51,128531
zaf,1996,Female,52,127238
zaf,1996,Female,53,118688
zaf,1996,Female,54,135263
zaf,1996,Female,55,113039
zaf,1996,Female,56,154694
zaf,1996,Female,57,108268
zaf,1996,Female,58,110662
zaf,1996,Female,59,99595
zaf,1996,Female,60,138715
zaf,1996,Female,61,97287
