year,municipality,population
1996,160,43906
1996,161,31704
1996,162,37485
1996,163,56557
1996,164,65301
1996,165,76386
1996,166,186334
1996,167,103996
1996,168,129984
1996,169,67083
1996,170,24579
1996,171,74582
1996,172,36686
1996,173,23015
1996,174,21190
1996,175,38553
1996,176,59789
1996,177,120148
1996,178,79181
1996,179,18427
1996,180,43599
1996,181,5913
1996,182,9508
1996,183,40693
1996,199,2562277
1996,261,46824
1996,262,34577
1996,263,10518
1996,264,77656
1996,265,46514
1996,266,45537
1996,267,17089
1996,268,63241
1996,269,28204
1996,270,255748
1996,271,286592
1996,272,40086
1996,273,136461
1996,274,93320
1996,276,144161
1996,277,24792
1996,278,57872
1996,279,35104
1996,280,19426
1996,281,176365
1996,282,164448
1996,283,130670
1996,284,165041
1996,285,65224
1996,286,134888
1996,287,131258
1996,288,32242
1996,289,29610
1996,290,245363
1996,291,145957
1996,292,260799
1996,293,200518
1996,294,396312
1996,295,200867
1996,296,193448
1996,297,235505
1996,298,119765
1996,260,685727
1996,299,969518
1996,363,12819
1996,364,43841
1996,365,11064
1996,366,19942
1996,367,12387
1996,368,9550
1996,369,19705
1996,370,25367
1996,371,39363
1996,372,11474
1996,373,9432
1996,374,13576
1996,375,20156
1996,376,38408
1996,377,7027
1996,378,57905
1996,379,80823
1996,380,15046
1996,381,26567
1996,382,16113
1996,383,205103
1996,384,39527
1996,385,22457
1996,386,57591
1996,360,112435
1996,361,61967
1996,362,22219
1996,460,35449
1996,461,50017
1996,462,36238
1996,463,24912
1996,464,65851
1996,465,26767
1996,466,51648
1996,467,476763
1996,468,82141
1996,469,109768
1996,470,107798
1996,471,64284
1996,472,353238
1996,473,46657
1996,474,50081
1996,475,169440
1996,477,120007
1996,478,106912
1996,479,52005
1996,499,603528
1996,503,166830
1996,504,82103
1996,505,47547
1996,506,191201
1996,560,99610
1996,561,54201
1996,562,114924
1996,563,69742
1996,564,25512
1996,565,39957
1996,566,524266
1996,567,45174
1996,568,62099
1996,514,178514
1996,569,98478
1996,570,47693
1996,571,119342
1996,573,112522
1996,582,128616
1996,583,151747
1996,584,28857
1996,585,65978
1996,586,128559
1996,538,196894
1996,542,129493
1996,587,96461
1996,588,72705
1996,589,230205
1996,590,36827
1996,594,94511
1996,595,11930
1996,596,34731
1996,597,78542
1996,598,165349
1996,574,44402
1996,575,151497
1996,576,160149
1996,577,90250
1996,524,287659
1996,525,23915
1996,526,99216
1996,529,167904
1996,578,65368
1996,579,98274
1996,580,188959
1996,581,170551
1996,546,124677
1996,591,107070
1996,592,143758
1996,593,169234
1996,599,2748299
1996,660,173402
1996,661,319974
1996,662,311787
1996,663,32778
1996,664,229622
1996,665,98469
1996,666,91259
1996,667,242146
1996,668,130369
1996,669,129287
1996,670,54116
1996,671,42736
1996,672,184364
1996,673,36869
1996,674,97770
1996,675,31915
1996,676,124813
1996,677,334346
1996,678,61204
1996,760,597285
1996,761,53353
1996,762,66206
1996,763,226446
1996,764,107711
1996,765,115592
1996,766,209727
1996,797,2026978
1996,798,2638471
1996,799,1792357
1996,860,182719
1996,861,105368
1996,862,100388
1996,863,70178
1996,864,90080
1996,865,39042
1996,866,209626
1996,867,53208
1996,868,236040
1996,869,135335
1996,870,37004
1996,871,241360
1996,872,259302
1996,873,65909
1996,874,426090
1996,875,48547
1996,876,277864
1996,877,545811
1996,960,218751
1996,961,203541
1996,962,342551
1996,963,109741
1996,964,87871
1996,965,73313
1996,966,533757
1996,967,33061
1996,968,455597
1996,969,158751
1996,970,146335
1996,973,107635
1996,974,424835
1996,976,234926
1996,977,60175
1996,978,78715
1996,979,15674
1996,980,46717
1996,981,47592
1996,982,282534
1996,983,97988
1996,984,220394
1996,985,269313
1996,986,97213
1996,987,229583
2001,160,54199
2001,161,39559
2001,162,46538
2001,163,70261
2001,164,72115
2001,165,89087
2001,166,194417
2001,167,118709
2001,168,146387
2001,169,81684
2001,170,28285
2001,171,93276
2001,172,55012
2001,173,27155
2001,174,23971
2001,175,44114
2001,176,71494
2001,177,149436
2001,178,84692
2001,179,29182
2001,180,52035
2001,181,6680
2001,182,10512
2001,183,43290
2001,199,2892243
2001,261,45773
2001,262,35407
2001,263,10367
2001,264,75302
2001,265,54717
2001,266,43914
2001,267,16897
2001,268,71390
2001,269,34439
2001,270,263959
2001,271,283667
2001,272,44459
2001,273,137904
2001,274,84233
2001,276,129874
2001,277,24824
2001,278,60364
2001,279,32537
2001,280,20244
2001,281,181799
2001,282,154828
2001,283,121822
2001,284,162248
2001,285,66447
2001,286,137394
2001,287,135734
2001,288,37307
2001,289,31314
2001,290,254480
2001,291,146967
2001,292,274416
2001,293,202933
2001,294,416348
2001,295,194630
2001,296,202369
2001,297,245730
2001,298,130980
2001,260,704855
2001,299,1005779
2001,363,10125
2001,364,44900
2001,365,10754
2001,366,20351
2001,367,10512
2001,368,11469
2001,369,16375
2001,370,23641
2001,371,35785
2001,372,9488
2001,373,9070
2001,374,14467
2001,375,18445
2001,376,39275
2001,377,7207
2001,378,58671
2001,379,77919
2001,380,16538
2001,381,27082
2001,382,14743
2001,383,202246
2001,384,38262
2001,385,21733
2001,386,61321
2001,360,97945
2001,361,70392
2001,362,23202
2001,460,42847
2001,461,56079
2001,462,36321
2001,463,27479
2001,464,64409
2001,465,32455
2001,466,53714
2001,467,408170
2001,468,98264
2001,469,123194
2001,470,129338
2001,471,61951
2001,472,360549
2001,473,51928
2001,474,55342
2001,475,167892
2001,477,118810
2001,478,115955
2001,479,56637
2001,499,645440
2001,503,193768
2001,504,92327
2001,505,54775
2001,506,217824
2001,560,82961
2001,561,62375
2001,562,108422
2001,563,73896
2001,564,36832
2001,565,37844
2001,566,552837
2001,567,59067
2001,568,63223
2001,514,225459
2001,569,113644
2001,570,60087
2001,571,137924
2001,573,120622
2001,582,142565
2001,583,184206
2001,584,31482
2001,585,69269
2001,586,145820
2001,538,289190
2001,542,133602
2001,587,106942
2001,588,84771
2001,589,221078
2001,590,50382
2001,594,107558
2001,595,11848
2001,596,56528
2001,597,101959
2001,598,174338
2001,574,51101
2001,575,169419
2001,576,167274
2001,577,92294
2001,524,332981
2001,525,32277
2001,526,102779
2001,529,191019
2001,578,82241
2001,579,119781
2001,580,198443
2001,581,188585
2001,546,120643
2001,591,127327
2001,592,167805
2001,593,144615
2001,599,3090122
2001,660,181033
2001,661,347578
2001,662,387096
2001,663,36477
2001,664,237175
2001,665,106165
2001,666,114155
2001,667,259478
2001,668,147599
2001,669,137443
2001,670,56263
2001,671,48366
2001,672,182164
2001,673,42967
2001,674,100469
2001,675,43078
2001,676,128353
2001,677,359202
2001,678,69037
2001,760,657949
2001,761,64271
2001,762,71868
2001,763,295505
2001,764,128842
2001,765,109799
2001,766,210481
2001,797,2481762
2001,798,3226055
2001,799,2142322
2001,860,187751
2001,861,124812
2001,862,143077
2001,863,80737
2001,864,103265
2001,865,38618
2001,866,221747
2001,867,56335
2001,868,276413
2001,869,142772
2001,870,43007
2001,871,256583
2001,872,243313
2001,873,81681
2001,874,476903
2001,875,53744
2001,876,334668
2001,877,500128
2001,960,240729
2001,961,218873
2001,962,375586
2001,963,131536
2001,964,94383
2001,965,82893
2001,966,581487
2001,967,39310
2001,968,494264
2001,969,171721
2001,970,146872
2001,973,109441
2001,974,508277
2001,976,227970
2001,977,65533
2001,978,85272
2001,979,34541
2001,980,69027
2001,981,52124
2001,982,298439
2001,983,121327
2001,984,221647
2001,985,262005
2001,986,92598
2001,987,269608
2011,160,67147
2011,161,49768
2011,162,61897
2011,163,99193
2011,164,113762
2011,165,115946
2011,166,251262
2011,167,155733
2011,168,166825
2011,169,97724
2011,170,35916
2011,171,108790
2011,172,80432
2011,173,33038
2011,174,24767
2011,175,52642
2011,176,89430
2011,177,193672
2011,178,95933
2011,179,49162
2011,180,68659
2011,181,8289
2011,182,13136
2011,183,49586
2011,199,3740026
2011,261,50993
2011,262,36002
2011,263,10537
2011,264,80390
2011,265,61176
2011,266,54504
2011,267,17761
2011,268,98558
2011,269,40663
2011,270,254909
2011,271,252390
2011,272,38991
2011,273,122778
2011,274,72190
2011,276,127115
2011,277,24264
2011,278,65560
2011,279,33281
2011,280,21971
2011,281,190723
2011,282,145372
2011,283,119460
2011,284,155513
2011,285,63582
2011,286,138141
2011,287,134150
2011,288,43800
2011,289,33677
2011,290,278481
2011,291,156136
2011,292,290390
2011,293,188226
2011,294,451710
2011,295,203843
2011,296,191620
2011,297,281905
2011,298,123976
2011,260,755200
2011,299,1152115
2011,363,11982
2011,364,47041
2011,365,10187
2011,366,21578
2011,367,12588
2011,368,12465
2011,369,18601
2011,370,28376
2011,371,42356
2011,372,11673
2011,373,10978
2011,374,15701
2011,375,21591
2011,376,37076
2011,377,7003
2011,378,65869
2011,379,93494
2011,380,16637
2011,381,35093
2011,382,18687
2011,383,248041
2011,384,46841
2011,385,24204
2011,386,63000
2011,360,89530
2011,361,93651
2011,362,41617
2011,460,38628
2011,461,49171
2011,462,34146
2011,463,24314
2011,464,63334
