year,province,population
1996,1,3956875
1996,2,6147244
1996,3,1011864
1996,4,2633504
1996,5,8572302
1996,6,2727223
1996,7,7834125
1996,8,3123869
1996,9,4576566
2001,1,4524335
2001,2,6278651
2001,3,991919
2001,4,2706775
2001,5,9584129
2001,6,2984098
2001,7,9388854
2001,8,3365554
2001,9,4995462
2011,1,5822734
2011,2,6562053
2011,3,1145861
2011,4,2745590
2011,5,10267300
2011,6,3509953
2011,7,12272263
2011,8,4039939
2011,9,5404868
2016,1,6279730
2016,2,6996976
2016,3,1193780
2016,4,2834714
2016,5,11065240
2016,6,3748435
2016,7,13399724
2016,8,4335964
2016,9,5799090
