district,year,sampi_headcount,sampi_intensity,sampi_score,population
1,2001,,,,
2,2001,,,,
3,2001,,,,
4,2001,,,,
5,2001,,,,
6,2001,,,,
7,2001,,,,
8,2001,,,,
9,2001,,,,
101,2001,0.037844552,0.409419277,0.015494289,282672
102,2001,0.047858464,0.436865667,0.02090772,630284
103,2001,0.066275053,0.448010976,0.029691951,203729
104,2001,0.069344463,0.429681239,0.029796015,454924
105,2001,0.061558568,0.406146972,0.025001826,60483
199,2001,0.073990216,0.456825841,0.033800643,2892243
210,2001,0.13775366,0.418539744,0.057655381,388206
212,2001,0.348806471,0.433463374,0.15119483,968920
213,2001,0.320370008,0.42619066,0.136538705,800289
214,2001,0.339611719,0.432059971,0.146732629,341750
215,2001,0.436182883,0.438189916,0.191130941,1295145
244,2001,0.446535587,0.43846116,0.195788512,773708
260,2001,0.209474312,0.450722151,0.094414712,704855
299,2001,0.129731804,0.45697846,0.05928464,1005779
306,2001,0.069791395,0.403507223,0.028161332,108111
307,2001,0.15190247,0.428780083,0.065132754,166547
308,2001,0.102510001,0.410629769,0.042093658,202160
309,2001,0.127484539,0.433386167,0.055250036,323563
345,2001,0.286289479,0.430305132,0.123191832,191539
416,2001,0.160926195,0.428294678,0.068923833,162727
418,2001,0.211355806,0.455506692,0.096273984,657012
419,2001,0.211008488,0.437538359,0.092324308,782302
420,2001,0.123512029,0.430671619,0.053193126,459294
499,2001,0.146711211,0.443102149,0.065008053,645440
521,2001,0.28316553,0.428760352,0.121410152,704030
522,2001,0.174321542,0.434821536,0.075798761,932121
523,2001,0.270266753,0.440598215,0.119079049,657736
527,2001,0.401157979,0.440089117,0.176545261,573341
528,2001,0.25694081,0.43199161,0.110996274,885965
543,2001,0.368054273,0.431545562,0.158832188,452231
554,2001,0.424681321,0.436961398,0.185569344,480088
555,2001,0.181545905,0.437941152,0.079506423,468036
556,2001,0.303284929,0.435454032,0.132066645,780069
559,2001,0.274390829,0.427785062,0.117380298,560389
599,2001,0.148454178,0.456125605,0.067713752,3090122
637,2001,0.184382766,0.43429984,0.080077406,1189360
638,2001,0.210201925,0.43315283,0.091049559,764840
639,2001,0.285565989,0.431681655,0.123273599,430228
640,2001,0.166983482,0.435307678,0.072689192,599670
742,2001,0.093954516,0.43212171,0.040599786,794088
748,2001,0.165464138,0.455770711,0.075413708,744627
797,2001,0.133335564,0.454608797,0.06061552,2481762
798,2001,0.091209772,0.451944599,0.041221764,3226055
799,2001,0.09564181,0.444480281,0.042510899,2142322
830,2001,0.234541609,0.433681063,0.101716254,900007
831,2001,0.148547985,0.439103099,0.065227881,1018422
832,2001,0.220645388,0.43328191,0.095601655,1447125
933,2001,0.255799679,0.438569411,0.112185915,1061107
934,2001,0.250375226,0.440667619,0.110332255,1197952
935,2001,0.187090153,0.432474362,0.080911695,1164281
936,2001,0.181484554,0.42737254,0.077561515,604938
947,2001,0.22101857,0.431261351,0.095316767,967185
101,2011,0.019832636,0.419003466,0.008309943,391766
102,2011,0.025296615,0.420035824,0.010625484,787490
103,2011,0.036613536,0.421761669,0.015442186,258176
104,2011,0.038501945,0.42248631,0.016266545,574265
105,2011,0.024091876,0.406102343,0.009783767,71011
199,2011,0.039314008,0.428060134,0.01682876,3740026
210,2011,0.051997098,0.421070516,0.021894445,450584
212,2011,0.187021066,0.413626141,0.077356802,892637
213,2011,0.155761887,0.413967601,0.064480375,795461
214,2011,0.168152123,0.413323458,0.069501217,349768
215,2011,0.211043659,0.41703258,0.088012082,1364943
244,2011,0.255670764,0.419178519,0.107171692,801344
260,2011,0.092952238,0.432684473,0.04021899,755200
299,2011,0.046270886,0.442957354,0.020496029,1152115
306,2011,0.03167299,0.401622929,0.012720599,115842
307,2011,0.07196706,0.426663383,0.030705709,186351
308,2011,0.046829823,0.410027306,0.019201506,236783
309,2011,0.072381779,0.429429972,0.031082905,382086
345,2011,0.113638868,0.416906117,0.047376739,224799
416,2011,0.049309582,0.422767165,0.020846472,146259
418,2011,0.055780587,0.427550189,0.023849001,627626
419,2011,0.070580377,0.416653288,0.029407546,736238
420,2011,0.044437744,0.421950482,0.018750527,488036
499,2011,0.048429252,0.422293485,0.020451358,747431
521,2011,0.151243664,0.416553794,0.063001122,722484
522,2011,0.077018536,0.416807824,0.032101928,1017763
523,2011,0.136621119,0.422796879,0.057762983,668848
527,2011,0.203872533,0.424078233,0.086457903,625846
528,2011,0.110504412,0.41019412,0.04532826,907519
543,2011,0.193455972,0.418814747,0.081022214,461419
554,2011,0.236634472,0.424466458,0.100443396,510838
555,2011,0.075392247,0.419639873,0.031637593,499839
556,2011,0.128518677,0.416321299,0.053505063,803575
559,2011,0.131901583,0.40993646,0.054071268,606809
599,2011,0.065670077,0.427981649,0.028105588,3442361
637,2011,0.082251907,0.421266518,0.034649975,1507505
