municipality,year,sampi_headcount,sampi_intensity,population
1,2001,,,
2,2001,,,
3,2001,,,
4,2001,,,
5,2001,,,
6,2001,,,
7,2001,,,
8,2001,,,
9,2001,,,
160,2001,0.048,0.396,54199
161,2001,0.035,0.394,39559
162,2001,0.016,0.393,46538
163,2001,0.056,0.432,70261
164,2001,0.027,0.398,72115
165,2001,0.06,0.427,89087
166,2001,0.053,0.452,194417
167,2001,0.037,0.432,118709
168,2001,0.047,0.437,146387
169,2001,0.041,0.416,81684
170,2001,0.035,0.399,28285
171,2001,0.086,0.46,93276
172,2001,0.067,0.445,55012
173,2001,0.035,0.418,27155
174,2001,0.05,0.39,23971
175,2001,0.034,0.397,44114
176,2001,0.046,0.425,71494
177,2001,0.078,0.442,149436
178,2001,0.071,0.402,84692
179,2001,0.09,0.439,29182
180,2001,0.101,0.443,52035
181,2001,0.054,0.38,6680
182,2001,0.064,0.413,10512
183,2001,0.062,0.408,43290
199,2001,0.074,0.457,2892243
260,2001,0.209,0.451,704855
261,2001,0.08,0.411,45773
262,2001,0.176,0.411,35407
263,2001,0.141,0.421,10367
264,2001,0.153,0.424,75302
265,2001,0.193,0.433,54717
266,2001,0.187,0.413,43914
267,2001,0.097,0.404,16897
268,2001,0.097,0.415,71390
269,2001,0.092,0.401,34439
270,2001,0.476,0.43,263959
271,2001,0.361,0.434,283667
272,2001,0.267,0.423,44459
273,2001,0.29,0.435,137904
274,2001,0.305,0.443,84233
276,2001,0.26,0.438,129874
277,2001,0.197,0.436,24824
278,2001,0.128,0.416,60364
279,2001,0.206,0.431,32537
280,2001,0.181,0.437,20244
281,2001,0.193,0.438,181799
282,2001,0.411,0.419,154828
283,2001,0.352,0.416,121822
284,2001,0.501,0.43,162248
285,2001,0.32,0.435,66447
286,2001,0.462,0.434,137394
287,2001,0.296,0.43,135734
288,2001,0.212,0.427,37307
289,2001,0.175,0.43,31314
290,2001,0.51,0.445,254480
291,2001,0.556,0.444,146967
292,2001,0.459,0.434,274416
293,2001,0.403,0.43,202933
294,2001,0.358,0.437,416348
295,2001,0.41,0.437,194630
296,2001,0.395,0.435,202369
297,2001,0.496,0.438,245730
298,2001,0.519,0.446,130980
299,2001,0.13,0.457,1005779
360,2001,0.388,0.427,97945
361,2001,0.224,0.44,70392
362,2001,0.071,0.42,23202
363,2001,0.061,0.414,10125
364,2001,0.048,0.421,44900
365,2001,0.124,0.408,10754
366,2001,0.064,0.388,20351
367,2001,0.11,0.387,10512
368,2001,0.079,0.397,11469
369,2001,0.15,0.416,16375
370,2001,0.171,0.443,23641
371,2001,0.113,0.428,35785
372,2001,0.109,0.422,9488
373,2001,0.191,0.45,9070
374,2001,0.164,0.423,14467
375,2001,0.095,0.424,18445
376,2001,0.196,0.425,39275
377,2001,0.14,0.411,7207
378,2001,0.076,0.398,58671
379,2001,0.102,0.417,77919
380,2001,0.165,0.393,16538
381,2001,0.117,0.419,27082
382,2001,0.09,0.427,14743
383,2001,0.1,0.442,202246
384,2001,0.206,0.425,38262
385,2001,0.134,0.431,21733
386,2001,0.161,0.424,61321
460,2001,0.188,0.43,42847
461,2001,0.131,0.425,56079
462,2001,0.184,0.424,36321
463,2001,0.16,0.436,27479
464,2001,0.205,0.439,64409
465,2001,0.193,0.419,32455
466,2001,0.203,0.438,53714
467,2001,0.215,0.466,408170
468,2001,0.207,0.435,98264
469,2001,0.229,0.433,123194
470,2001,0.172,0.435,129338
471,2001,0.18,0.419,61951
472,2001,0.235,0.447,360549
473,2001,0.184,0.412,51928
474,2001,0.162,0.419,55342
475,2001,0.104,0.42,167892
477,2001,0.139,0.43,118810
478,2001,0.121,0.447,115955
479,2001,0.152,0.422,56637
499,2001,0.147,0.443,645440
503,2001,0.366,0.424,193768
504,2001,0.38,0.423,92327
505,2001,0.331,0.424,54775
506,2001,0.17,0.436,217824
514,2001,0.183,0.438,225459
524,2001,0.142,0.44,332981
525,2001,0.347,0.422,32277
526,2001,0.275,0.441,102779
529,2001,0.273,0.446,191019
538,2001,0.138,0.446,289190
542,2001,0.449,0.433,133602
546,2001,0.437,0.427,120643
560,2001,0.381,0.423,82961
561,2001,0.201,0.458,62375
562,2001,0.247,0.418,108422
563,2001,0.116,0.417,73896
564,2001,0.228,0.447,36832
565,2001,0.282,0.431,37844
566,2001,0.14,0.444,552837
567,2001,0.255,0.424,59067
568,2001,0.3,0.431,63223
569,2001,0.356,0.435,113644
570,2001,0.248,0.462,60087
571,2001,0.353,0.445,137924
573,2001,0.3,0.434,120622
574,2001,0.167,0.455,51101
575,2001,0.384,0.439,169419
576,2001,0.598,0.44,167274
577,2001,0.361,0.419,92294
578,2001,0.319,0.429,82241
579,2001,0.261,0.428,119781
580,2001,0.35,0.43,198443
581,2001,0.315,0.439,188585
582,2001,0.497,0.447,142565
