municipality,water_satisfaction,water_access,electricity_satisfaction,electricity_access,refuse_removal_satisfaction,refuse_removal_access,sanitation_satisfaction,sanitation_access,year,population
1,,,,,,,,,2015,
2,,,,,,,,,2015,
3,,,,,,,,,2015,
4,,,,,,,,,2015,
5,,,,,,,,,2015,
6,,,,,,,,,2015,
7,,,,,,,,,2015,
8,,,,,,,,,2015,
9,,,,,,,,,2015,
160,78.9,98.3,85.5,97,85.3,89.6,86.7,94.5,2015,71045
161,72.4,91.8,74.2,90.3,80.6,76.7,75.5,88.3,2015,52949
162,81.9,96.9,86,97.7,86.6,84.2,87.8,97.9,2015,67474
163,67,90.2,76.5,85.9,78.8,87.1,72.8,85.7,2015,111173
164,89.2,92.5,85.8,98.7,93.3,84.7,90.5,96.2,2015,133762
165,71.9,97.8,79.5,94.5,82.3,88.6,82.2,96.4,2015,130548
166,83.6,97.8,80.2,95.5,86.5,93.6,82.9,97.7,2015,280195
167,69.6,94.8,65.3,92.6,64.6,78.8,64.5,98,2015,173420
168,75.7,91.2,82.7,92.1,81.5,84.5,80.4,91.3,2015,176578
169,79.5,97.3,85,96.3,89.9,82.7,87.3,94.5,2015,105483
170,80.8,96.4,86.3,96.9,88.9,88.7,88.1,96.9,2015,40211
171,70.4,94.8,82.7,90.1,77.3,81.9,74.8,92.1,2015,117109
172,81,98.7,76.2,95.7,88.6,94.7,79.4,99.2,2015,93466
173,84.3,90.8,82.2,96.5,88.9,91.4,86.5,92,2015,36000
174,69.7,93.4,78.4,91.9,76.1,81.9,77.7,85.7,2015,24168
175,78.7,90.1,84,98.3,91.7,75.6,92,97.9,2015,54237
176,76.2,96.1,74.2,94.3,81,89.9,77.9,95.9,2015,94135
177,80.3,98.3,76.8,97.5,82.1,97.3,76.7,94.5,2015,208237
178,75.9,95,71,90.2,75.8,88.6,76.7,89,2015,97509
179,88.6,94.4,79.4,98.7,84.2,89.9,80.4,94.8,2015,59157
180,64.3,92.4,73.3,93.8,84.3,96,70.3,92.4,2015,73835
181,80.6,88.1,84.9,88.8,92.9,80.6,89.8,97.7,2015,8895
182,77.6,97.9,85.3,95.9,86.5,95.8,83.3,95.6,2015,14272
183,58.5,95,71,96,76.4,92.3,63.3,97.4,2015,51080
199,75.1,97.2,69.7,97.2,75.3,90.8,72.8,92.8,2015,4004793
261,39.9,98.3,49.1,98.1,50.1,94.9,49.6,97.9,2015,53441
262,65.9,90,65.4,88.7,77.7,86.5,55.3,88.4,2015,36063
263,30.6,74.8,45.3,92.4,39.5,82.4,42.9,94.6,2015,10625
264,43.9,92.2,69,96.6,66,91,62.3,85.4,2015,82060
265,55.2,86.9,77.9,88.9,70.3,89.7,62.9,76.8,2015,63180
266,39.4,78.4,60.4,89.6,43.8,63.8,35.5,67.2,2015,59793
267,85.5,80.8,61.6,88.4,80.2,76.1,75.8,87.1,2015,18131
268,59.5,97.3,56.1,86.3,64.7,84.7,55.4,77,2015,112941
269,24.1,89.9,52,94.5,45.3,80.6,47.3,90.9,2015,43688
270,32.4,29.2,48,67.5,22.3,11.9,42.3,4.8,2015,270068
271,44.5,51,56.4,80.4,35.6,17.7,50.7,14.2,2015,254013
272,46.5,72,58.6,79.4,26.2,22.9,35.3,30.1,2015,39476
273,62.3,72.4,72.3,92.7,41.1,12.3,37.6,20.3,2015,122548
274,67,88.6,64.7,96.1,38.7,8.3,40.9,8.5,2015,69200
276,44.4,81.1,53.8,96.6,30.3,23.6,37.7,37.3,2015,134058
277,52.3,94.8,55.6,95.9,38.3,72.8,53.4,88.8,2015,25458
278,42.7,95.6,50.4,96,48.6,84.3,52.6,92,2015,70493
279,47.6,82,57.5,95.8,42.7,27.9,52,26,2015,35065
