municipality,water_satisfaction,electricity_satisfaction,refuse_removal_satisfaction,sanitation_satisfaction
160,78.9,85.5,85.3,86.7
161,72.4,74.2,80.6,75.5
162,81.9,86.0,86.6,87.8
163,67.0,76.5,78.8,72.8
164,89.2,85.8,93.3,90.5
165,71.9,79.5,82.3,82.2
166,83.6,80.2,86.5,82.9
167,69.6,65.3,64.6,64.5
168,75.7,82.7,81.5,80.4
169,79.5,85.0,89.9,87.3
170,80.8,86.3,88.9,88.1
171,70.4,82.7,77.3,74.8
172,81.0,76.2,88.6,79.4
173,84.3,82.2,88.9,86.5
174,69.7,78.4,76.1,77.7
175,78.7,84.0,91.7,92.0
176,76.2,74.2,81.0,77.9
177,80.3,76.8,82.1,76.7
178,75.9,71.0,75.8,76.7
179,88.6,79.4,84.2,80.4
180,64.3,73.3,84.3,70.3
181,80.6,84.9,92.9,89.8
182,77.6,85.3,86.5,83.3
183,58.5,71.0,76.4,63.3
199,75.1,69.7,75.3,72.8
261,39.9,49.1,50.1,49.6
262,65.9,65.4,77.7,55.3
263,30.6,45.3,39.5,42.9
264,43.9,69.0,66.0,62.3
265,55.2,77.9,70.3,62.9
266,39.4,60.4,43.8,35.5
267,85.5,61.6,80.2,75.8
268,59.5,56.1,64.7,55.4
269,24.1,52.0,45.3,47.3
270,32.4,48.0,22.3,42.3
271,44.5,56.4,35.6,50.7
272,46.5,58.6,26.2,35.3
273,62.3,72.3,41.1,37.6
274,67.0,64.7,38.7,40.9
276,44.4,53.8,30.3,37.7
277,52.3,55.6,38.3,53.4
278,42.7,50.4,48.6,52.6
279,47.6,57.5,42.7,52.0
280,50.7,55.0,52.5,62.9
281,52.2,52.8,55.8,60.8
282,41.8,58.1,18.2,44.1
283,46.2,55.7,43.3,41.0
284,26.4,41.8,19.0,45.9
285,47.9,70.9,33.6,50.1
286,33.7,61.6,37.3,49.7
287,32.1,43.7,29.6,39.4
288,64.0,64.5,61.5,61.1
289,65.7,66.6,71.3,76.4
290,9.9,47.3,8.6,32.0
291,13.8,46.5,9.6,25.8
292,24.1,65.0,15.5,52.4
293,29.2,52.7,21.5,44.5
294,27.8,37.6,21.9,34.5
295,31.8,65.9,36.5,47.7
296,38.8,68.2,28.3,55.8
297,19.7,70.5,20.2,53.4
298,32.7,54.3,40.7,46.4
260,62.0,55.1,38.9,57.2
299,60.1,59.8,64.0,61.0
363,44.9,66.2,63.0,51.8
364,66.6,74.2,83.7,74.7
365,54.7,58.1,63.6,41.7
366,48.1,75.5,74.8,75.8
367,86.7,85.1,92.7,75.3
368,57.4,87.7,50.9,70.8
369,44.3,64.1,51.7,53.2
370,67.1,92.3,73.0,66.4
371,62.3,61.1,54.2,60.0
372,85.0,90.4,92.2,78.7
373,64.8,76.9,59.5,71.1
374,64.1,71.2,53.5,60.0
375,84.1,95.3,91.2,81.5
376,76.6,79.5,67.6,62.9
377,66.9,91.2,72.1,67.9
378,55.6,73.6,65.3,61.3
379,81.9,83.4,90.6,76.6
380,52.0,73.7,53.5,52.6
381,64.1,78.2,70.6,77.2
382,89.6,88.8,91.6,89.8
383,59.7,59.6,70.3,68.2
384,64.0,73.8,21.3,50.9
385,21.6,72.8,37.7,29.9
386,39.6,70.7,40.5,54.6
360,45.1,66.9,38.0,46.6
361,48.3,74.6,46.3,42.8
362,65.4,79.8,81.5,85.1
460,53.7,68.7,59.9,62.3
461,72.4,85.2,66.5,76.8
462,58.8,82.8,78.0,72.2
463,43.2,70.1,25.8,53.3
464,49.7,80.6,57.1,64.9
465,42.6,60.8,30.3,29.6
466,86.7,89.9,91.6,77.9
467,65.2,75.3,39.8,68.1
468,78.7,85.9,72.1,77.1
469,41.7,78.3,39.4,52.7
470,86.3,92.0,84.1,80.6
471,48.0,66.6,41.3,51.5
472,43.3,50.8,26.9,35.8
473,62.4,74.3,56.9,58.3
474,39.6,78.3,43.6,59.2
475,21.4,72.7,73.1,69.3
477,38.7,52.2,59.1,66.1
478,77.1,64.9,73.0,68.1
479,57.7,78.9,68.1,78.0
499,67.3,69.6,62.7,58.9
503,37.2,62.2,24.5,41.5
504,40.9,56.9,33.8,39.3
505,44.1,74.0,26.8,44.1
506,63.5,75.2,66.8,61.6
560,44.0,59.2,53.8,59.3
561,64.7,71.3,57.2,43.3
562,29.4,55.4,28.2,31.2
563,72.6,82.6,77.1,71.0
564,48.5,39.2,47.3,42.9
565,57.9,78.5,14.7,64.3
566,66.9,57.8,47.5,53.1
567,22.7,41.8,16.3,18.4
568,56.6,58.3,41.3,40.1
514,52.3,66.4,58.5,56.0
569,27.0,62.5,25.7,40.1
570,38.5,50.9,44.0,52.4
571,27.4,62.8,27.8,32.7
573,26.5,61.9,22.4,44.7
582,22.3,22.9,17.7,31.7
583,17.4,39.4,13.2,46.5
584,23.3,45.7,20.5,38.0
585,23.6,69.8,19.1,43.3
586,16.8,45.1,13.9,31.1
538,78.0,79.1,66.6,74.1
542,31.7,67.3,30.9,65.7
587,45.9,68.5,34.6,54.7
588,30.2,57.9,12.4,22.9
589,40.1,74.2,51.1,63.6
590,48.9,59.7,37.2,44.5
594,32.4,69.4,29.9,60.6
595,64.8,83.2,63.2,52.3
596,73.7,83.4,74.5,69.3
597,24.4,43.5,14.2,41.0
