district,district.category,district.acronym,district.name,district.name_with_tla,district.long_name,district.province_acronym,district.province_code,district.province_name,district.albers_are,district.shape_leng,district.shape_area,district.rural,district.cat,district.shape_lores_svg,district.pr
260,A,BUF,Buffalo City,Buffalo City(BUF ),Buffalo City Metropolitan Municipality,EC,2,Eastern Cape,2535.931516,4.458223265,0.244546256,0,district,,2
199,A,CPT,City of Cape Town,City of Cape Town(CPT ),City of Cape Town Metropolitan Municipality,WC,1,Western Cape,2444.962992,5.198175003,0.238296676,0,district,,1
101,C,DC1,West Coast,West Coast(DC1 ),West Coast District Municipality,WC,1,Western Cape,31118.68361,14.65113064,2.973226299,0,district,,1
210,C,DC10,Cacadu,Cacadu(DC10 ),Cacadu District Municipality,EC,2,Eastern Cape,58243.28257,17.87481735,5.623926943,0,district,,2
212,C,DC12,Amathole,Amathole(DC12 ),Amathole District Municipality,EC,2,Eastern Cape,21594.9158,16.05879991,2.073497525,1,district,,2
213,C,DC13,Chris Hani,Chris Hani(DC13 ),Chris Hani District Municipality,EC,2,Eastern Cape,36143.53841,14.24791462,3.441807786,1,district,,2
214,C,DC14,Joe Gqabi,Joe Gqabi(DC14 ),Joe Gqabi District Municipality,EC,2,Eastern Cape,25662.672,14.01391164,2.422207587,1,district,,2
215,C,DC15,O.R.Tambo,O.R.Tambo(DC15 ),O.R.Tambo District Municipality,EC,2,Eastern Cape,12095.50737,9.688872654,1.147890848,1,district,,2
416,C,DC16,Xhariep,Xhariep(DC16 ),Xhariep District Municipality,FS,4,Free State,37673.72635,11.80247701,3.516979133,0,district,,4
418,C,DC18,Lejweleputswa,Lejweleputswa(DC18 ),Lejweleputswa District Municipality,FS,4,Free State,31930.27986,12.15049651,2.93577029,0,district,,4
419,C,DC19,Thabo Mofutsanyane,Thabo Mofutsanyane(DC19 ),Thabo Mofutsanyane District Municipality,FS,4,Free State,33269.18734,15.38521638,3.059035803,1,district,,4
102,C,DC2,Cape Winelands,Cape Winelands(DC2 ),Cape Winelands District Municipality,WC,1,Western Cape,21472.68374,10.22619607,2.079331632,0,district,,1
420,C,DC20,Fezile Dabi,Fezile Dabi(DC20 ),Fezile Dabi District Municipality,FS,4,Free State,20667.97546,11.01471338,1.884909367,0,district,,4
521,C,DC21,Ugu,Ugu(DC21 ),Ugu District Municipality,KZN,5,KwaZulu-Natal,5046.882644,5.883144107,0.474430885,1,district,,5
