district,year,smam,mac,population
1,2015,,,
2,2015,,,
3,2015,,,
4,2015,,,
5,2015,,,
6,2015,,,
7,2015,,,
8,2015,,,
9,2015,,,
101,2015,29.01872476,28.65134764,282672
102,2015,29.38618897,28.37610937,630284
103,2015,29.51955606,28.38117147,203729
104,2015,30.64289867,28.41607382,454924
105,2015,29.44286792,28.33585513,60483
199,2015,29.75846981,28.21759061,2892243
210,2015,27.67238297,27.91836835,388206
212,2015,32.40330267,28.06148008,968920
213,2015,28.49147745,28.71482321,800289
214,2015,31.68785699,29.02920503,341750
215,2015,33.21449441,29.26172913,1295145
244,2015,33.34701729,29.05087219,773708
260,2015,32.1385908,29.23964691,704855
299,2015,31.53373853,29.49365834,1005779
306,2015,29.81697526,28.28111195,108111
307,2015,29.92643887,28.754451,166547
308,2015,30.47907542,27.40345844,202160
309,2015,30.86173256,28.13884877,323563
345,2015,31.31504476,28.50150189,191539
416,2015,30.16263004,28.67570209,162727
418,2015,31.62910576,29.0221556,657012
419,2015,30.88874465,29.27769402,782302
420,2015,30.45198117,29.35087308,459294
499,2015,30.53559881,29.4490044,645440
521,2015,35.47163029,28.91562142,704030
522,2015,34.2181244,28.71645747,932121
523,2015,31.73808728,28.17776575,657736
527,2015,32.70067817,28.33543285,573341
528,2015,35.45910113,27.74886818,885965
543,2015,32.05687487,29.5411995,452231
554,2015,31.18443652,28.89716718,480088
555,2015,35.42942712,29.58434621,468036
556,2015,34.24296928,28.39593123,780069
559,2015,34.59576318,29.31461029,560389
599,2015,33.74288763,29.07233815,3090122
637,2015,30.88805071,28.63832792,1189360
638,2015,31.6315415,28.00214533,764840
639,2015,32.30739239,28.72282229,430228
640,2015,30.97481251,29.29682862,599670
742,2015,31.39492938,28.99034631,794088
748,2015,30.40068114,28.58058188,744627
797,2015,30.4393642,28.04427438,2481762
798,2015,31.10524568,29.07552824,3226055
799,2015,30.84126144,29.15422952,2142322
830,2015,32.14768395,29.97073494,900007
831,2015,31.67575161,28.31457119,1018422
832,2015,31.1686924,28.60252516,1447125
933,2015,31.15783861,28.8449289,1061107
934,2015,28.8302469,28.81864959,1197952
935,2015,33.24452593,27.82191624,1164281
936,2015,30.51952441,28.11547334,604938
947,2015,31.87539857,29.19236768,967185
