time,municipality,water_access_percentage,electricity_access_percentage,refuse_removal_percentage,sanitation_access_percentage
1996,zaf,60.7,58.1,54.3,
2001,zaf,84.5,69.7,57,51.9
2011,zaf,91.2,84.7,63.6,60.1
2016,zaf,83.5,90.2,63.9,63.3
1996,160,95.8,76.5,53.7,
1996,161,95.3,76.2,50,
1996,162,95.8,81.3,61.9,
1996,163,98.6,86.6,94.2,
1996,164,97.2,87.1,63.6,
1996,165,96.4,78,60,
1996,166,96.1,83.8,78.4,
1996,167,97,90.7,79.4,
1996,168,97.2,89.3,70.7,
1996,169,94,80.6,60.3,
1996,170,85.4,75.3,58.9,
1996,171,97.9,84,57.4,
1996,172,94.2,83.1,85.4,
1996,173,97.6,84.7,81.3,
1996,174,83.2,71.8,53.5,
1996,175,89.8,74.4,65.2,
1996,176,95,88.4,87.7,
1996,177,94.3,81.7,84.1,
1996,178,95.1,81,82.1,
1996,179,88.8,74.5,81.7,
1996,180,89.5,67.9,66.6,
1996,181,94,67.9,53.9,
1996,182,94.7,71.8,64.9,
1996,183,98.4,83.4,76.9,
1996,199,98.1,87.2,93,
1996,261,98.6,76.4,81,
1996,262,85.6,43.5,59.8,
1996,263,90.1,63.9,68.2,
1996,264,92.9,71.2,82,
1996,265,85.5,61.8,66.6,
1996,266,70.5,61.9,37.1,
1996,267,83,42.9,58.9,
1996,268,93.4,73.2,72.9,
1996,269,69.9,63.4,37.8,
1996,270,6.1,4.1,1.9,
1996,271,23.8,13.4,16.2,
1996,272,76.5,27.3,24.2,
1996,273,59.1,24.3,17,
1996,274,53.1,23.1,2.7,
1996,276,66.7,21.7,15.9,
1996,277,92.8,35.5,67.5,
1996,278,94.3,66.8,65.8,
1996,279,90.7,45.5,24.2,
1996,280,94.6,77.6,72.3,
1996,281,85,56.6,57.9,
1996,282,20.3,6,2.6,
1996,283,43.1,19.6,9.6,
1996,284,11.9,5,1.7,
1996,285,52.3,19.4,22,
1996,286,21.9,8,9.3,
1996,287,54.1,29.2,8.7,
1996,288,92.6,53.1,74.6,
1996,289,95.1,72.7,69.5,
1996,290,14.6,2.9,2.6,
1996,291,7.4,4.4,1.9,
1996,292,15.8,4.8,1.1,
1996,293,20.7,7,4.1,
1996,294,36.3,21.5,25,
1996,295,26,8.4,3.6,
1996,296,21.5,6.3,2.7,
1996,297,7.4,7.5,0.9,
1996,298,10.6,3.2,2.3,
1996,260,91.1,46.9,65.3,
1996,299,98.3,71.2,93.5,
1996,363,90.7,65.5,76.6,
1996,364,93.3,71.8,83.1,
1996,365,69.1,49.3,52.6,
1996,366,87.9,69.5,61.9,
1996,367,92.1,63.2,50.8,
1996,368,93.4,77.7,59.1,
1996,369,89.7,66.9,57.5,
1996,370,95.9,75.5,75.3,
1996,371,94.6,62.9,84.9,
1996,372,92,67,63.9,
1996,373,93.7,67.8,67.4,
1996,374,89.1,64.6,68.4,
1996,375,94.1,77.5,60.8,
1996,376,85.5,56.6,42.5,
1996,377,72.4,19.4,32.6,
1996,378,80.2,59.3,41.3,
1996,379,91.4,71.2,78.4,
1996,380,84.7,58.3,48.2,
1996,381,94.8,73.3,65.1,
1996,382,87.4,64,87,
1996,383,99.1,82.7,95,
1996,384,83.8,58.9,44.1,
1996,385,91.2,75.5,67,
1996,386,90,69.7,51.2,
1996,360,63.7,14.6,2.5,
1996,361,85,49.8,22.5,
1996,362,96.7,85,85.1,
1996,460,87.3,75.6,58.6,
1996,461,94.2,75.5,69.9,
1996,462,92,67.7,61.3,
1996,463,96.2,74.3,65.6,
1996,464,91.8,73,74.5,
