"geo","time","child_mortality_0_5_year_olds_dying_per_1000_born","children_per_woman_total_fertility","income_per_person_gdppercapita_ppp_inflation_adjusted","population_total"
"asia",2015,,,,
"europe",2015,,,,
"africa",2015,,,,
"americas",2015,,,,
"asia",1800,,,,
"europe",1800,,,,
"africa",1800,,,,
"americas",1800,,,,
"stp",1984,100.1,6.08,2469,101900
"mus",1822,427.9,5.03,952,
"nam",1944,334,5.96,3499,
"mrt",1979,168.6,6.48,2879,1491000
"mus",1974,72.3,3.34,4155,878400
"myt",1972,,7.93,,40200
"mus",1887,299.1,4.87,1303,
"tgo",1810,426.6,6.34,683,446000
"mus",1810,427.9,5.03,941,78310
"mar",1817,403.4,6.5,717,
"ner",1803,433.1,6.83,446,
"lbr",1826,429.2,6.19,812,
"mus",1962,93.4,6.12,3288,698300
"cpv",1846,394.7,6.5,593,
"gab",1843,435.8,6.5,393,
"bwa",1813,397.2,6.47,398,
"cmr",1991,138.2,6.35,2586,12430000
"civ",1842,427.9,6.78,961,
"cpv",1998,44.3,4.05,3082,419900
"bfa",1819,454.7,6.04,481,
"lbr",1901,427.9,6.19,993,
"cpv",1921,377.6,6.61,812,
"civ",1928,401.4,6.76,1549,
"civ",1994,149.3,5.9,2851,13950000
"ago",1918,468,7.01,1174,
"som",2005,174.3,7.29,616,8467000
"zwe",1868,395.9,6.75,943,
"bfa",1960,347.6,6.29,659,4829000
"ssd",1863,490.1,,626,
"dza",1930,411.8,7.12,2942,6876000
"bwa",1953,213.3,6.51,877,448400
"mar",1868,403.4,6.5,780,
"ner",1854,433.1,6.83,527,
"lbr",1877,429.2,6.19,931,
"tcd",1858,431.8,6.06,504,
"zwe",1943,313.2,6.75,1296,
"ssd",1851,490.1,,591,
"tcd",1933,400.4,6.06,919,
"nga",1815,438.5,6.55,874,
"dza",1993,44.2,3.97,9279,27790000
"gha",1884,471.4,6.43,759,
"ssd",1937,408,,1389,
"bwa",1852,397.2,6.48,465,
"mdg",1846,437.1,6.89,651,
"caf",1870,443.8,6.51,541,610300
"dza",1981,132.6,6.74,10160,19940000
"mdg",1921,418.1,6.89,1055,
"caf",1869,443.8,6.51,539,
"gnb",1816,417.4,7.25,779,
"gmb",1817,460.2,6.51,821,
"tcd",1897,431.6,6.06,608,
"syc",1827,351.8,5.16,881,
"caf",1944,419.3,5.67,1107,
"syc",1893,196.1,5.16,1144,
"mdg",1897,436.9,6.89,833,
"syc",1979,33.6,4.02,11370,65150
"som",1855,452,6.87,731,
"nam",1995,65.2,4.59,5900,1654000
"mdg",1972,155.7,7.32,2463,6952000
"som",1930,422.8,6.95,868,1986000
"syc",1967,84,5.92,6051,48910
"nam",1983,92.3,6.15,6491,1082000
"caf",1995,176.6,5.6,881,3336000
"ago",1817,485.7,6.94,665,
"bdi",1933,391.7,6.81,483,
"ago",1883,485.7,6.99,889,
"rwa",2010,64.2,4.84,1262,10290000
"mar",1856,403.4,6.5,763,
"ner",1842,433.1,6.83,497,
"lbr",1865,429.2,6.19,902,
"ago",1969,268.6,7.34,5158,6178000
"dji",1906,440.9,6.3,1052,
"rwa",2009,70.7,4.95,1210,10020000
"som",1981,222.1,7.03,866,6252000
"ago",1805,485.7,6.93,631,
"cod",2010,116.1,6.25,632,65940000
"shn",1993,,,,5378
"sen",1996,143.2,5.94,1764,8939000
"sdn",1997,113.9,5.67,2142,26150000
"stp",1906,284.6,6.23,1035,
"ner",1893,433.1,6.83,636,
"ner",1979,322,7.68,1320,5799000
"gnq",1885,446.5,5.51,398,
"mar",1982,120.8,5.44,3502,21070000
"lbr",1991,256.7,6.41,439,2066000
"egy",1845,404.7,6.04,890,
"eri",2002,80.4,5.77,1491,3789000
"ben",1921,413.5,5.66,993,
"egy",1920,389.2,6.08,1254,13100000
"uga",1835,510.9,6.89,500,
"com",2010,86,4.92,1426,698700
"rwa",1859,420,7.07,465,
"tza",1836,414.9,6.74,588,
"myt",2008,6.31,4.24,,196300
"reu",1910,,6.51,,181300
"syc",1866,249.1,5.16,1028,
"nga",1980,214.4,6.78,4250,73700000
"uga",1910,501.9,6.89,718,2825000
"com",2009,88.5,4.99,1431,681800
"lby",1906,400.8,7.2,3021,
"egy",1971,239.4,5.85,3090,35560000
"lso",2000,106,4.09,1629,1856000
"reu",1909,,6.51,,
"dji",1805,445.1,6.3,764,
"bdi",1820,423.9,6.8,426,917800
"zmb",1846,409.8,6.71,741,
"eri",1852,441.1,6.96,579,
"bdi",1972,247.3,7.35,753,3547000
"eri",1938,405.3,6.94,752,
"zaf",1933,352.8,6.43,4843,
"zmb",1921,393.4,6.71,1126,
"zmb",1834,409.8,6.71,720,
"cmr",2001,144.9,5.57,2447,16350000
"nga",1881,438.5,6.55,1164,
"uga",1811,510.9,6.89,465,
"mli",1830,494.5,6.23,606,1541000
"sle",1836,513.9,5.72,795,
"rwa",1835,420,7.07,451,
"tza",1812,414.9,6.74,563,
"nga",1967,307,6.36,2666,52470000
"zaf",1921,381.1,6.47,4843,
"mwi",1829,439.8,6.78,351,
"eri",1990,151.4,6.49,850,3139000
"mli",1916,478.8,6.23,624,
"mli",1829,494.5,6.23,606,
"lso",1948,273.7,5.81,424,
"sle",1911,503.6,5.72,1142,
"stp",1945,239.8,6.23,1176,
"rwa",1910,412.6,7.07,495,1688000
"eri",1989,157.3,6.5,858,3091000
"mwi",1904,436.9,6.78,355,
"cmr",1812,460.2,5.54,627,
"mli",1904,491.2,6.23,622,
"lso",1850,407.2,5.84,404,346600
"dji",1996,108.5,5.15,2181,673200
"cod",1999,164.9,7.14,583,46790000
"gin",1831,446.5,6.11,462,
"ben",1885,430.5,5.62,819,
"eth",1821,447.9,7.17,524,
"esh",1822,,6.32,,
"lso",1936,363.5,5.83,423,
"eth",1907,442.7,7.17,540,
"esh",1908,,6.32,,
"gin",1917,398.7,6.11,551,
"cmr",1800,460.2,5.54,626,1860000
"ben",1960,314,6.28,1137,2432000
"ssd",2013,99.2,,1965,11450000
"cpv",1807,394.7,6.44,530,
"tgo",1834,426.6,6.34,732,
"stp",1996,103.7,4.89,2186,127900
"tgo",1986,156.1,6.78,1440,3363000
"reu",1874,,6.51,,
"ken",1846,507.9,6.91,986,
"gin",1882,439.8,6.11,513,
"lso",1987,90.4,5.17,1124,1520000
"mrt",1842,417.4,6.34,588,
"gin",1968,333.3,6.16,940,4095000
"sen",1918,493.9,5.7,867,
"ken",1998,106.2,5.06,2194,29560000
"sdn",1919,409.1,6.64,917,
"tgo",1908,420.8,6.34,1047,
"cmr",1851,460.2,5.54,729,
"ken",1921,490.3,6.91,1395,
"myt",1834,,7.07,,
"ken",1834,507.9,6.91,949,
"gin",1870,441.1,6.11,500,1530000
"gnq",1807,446.5,5.51,359,
"com",1922,397.1,6.01,788,
"mrt",1830,417.4,6.34,555,399100
"gin",1956,360,6.05,730,3364000
"esh",2011,48.76,2.43,,525400
"eth",2010,75.7,4.9,1081,87560000
"zwe",2006,97.9,3.94,1629,13130000
"mrt",1916,391.9,6.34,842,
"mrt",1893,417.4,6.34,752,
"stp",1897,295.8,6.23,1018,
"swz",1857,413.6,6.71,587,
"zmb",1885,409.8,6.71,815,
"myt",1885,,7.07,,
"zaf",1820,398.4,6.47,1484,1577000
"stp",1972,87.6,6.51,2276,77540
"mrt",1881,417.4,6.34,710,
"swz",1845,413.6,6.71,554,
"cog",2006,87.4,5.11,5138,3605000
"lby",1846,404.7,7.2,1448,
"gmb",1830,460.2,6.51,828,111400
"moz",1988,244.5,6.31,441,13120000
"swz",1920,395.4,6.71,853,115200
"mli",1955,473.2,6.57,707,4975000
"cpv",1834,394.7,6.48,563,
"gab",1831,435.8,6.5,392,
"gnb",1915,405.2,7.25,842,
"gmb",1916,445.6,6.51,890,
"eth",1872,447.9,7.17,534,
"esh",1873,,6.32,,
"bwa",1801,397.2,6.47,397,
"gnb",1828,417.4,7.25,785,
"gmb",1829,460.2,6.51,827,
"civ",1830,427.9,6.78,916,1166000
"gab",1917,421,6.5,425,
"shn",2003,,,,4587
"sen",2006,88.8,5.18,2099,11580000
"sdn",2007,87,4.87,3097,33640000
"bfa",1807,454.7,6.03,480,
"civ",1916,414.2,6.78,1326,
"bfa",1959,352.3,6.27,649,4764000
"gha",1907,456.7,6.43,896,
"zwe",1856,395.9,6.75,930,
"uga",1987,179.7,7.1,713,15670000
"tcd",1846,431.8,6.06,475,
"gab",1882,435.8,6.5,395,
"zwe",1931,369.6,6.75,1018,
"tza",1988,168.4,6.33,1442,23910000
"tgo",1873,426.6,6.34,884,
"tcd",1921,413.1,6.06,749,
"tgo",1959,279.2,6.48,1165,1560000
"tcd",1834,431.8,6.06,449,
"ssd",1925,432.6,,1036,
"cog",1868,408.5,5.67,697,
"gha",1958,217.3,6.67,2092,6246000
"sen",1805,512.4,5.7,497,
"ken",1885,507.9,6.91,1114,
"sdn",1806,425.2,6.64,519,
"mdg",1834,437.1,6.89,615,
"esh",1998,85.81,3.15,,277500
"eth",1997,162,6.86,630,60890000
"cog",1943,376,5.67,1568,
"ken",1960,198.6,7.95,1887,8105000
"zwe",1982,92,6.81,2527,7876000
"gnq",1933,414.6,5.51,458,
"cog",1856,408.5,5.67,673,
"gnq",1846,446.5,5.51,378,
"ssd",1890,490.1,,713,1757000
"tcd",1972,252.3,6.64,1216,3816000
"tun",1841,460.2,6.4,794,
"gnq",1921,427.1,5.51,437,
"sen",1856,512.4,5.7,593,
"sdn",1857,425.2,6.64,621,
"tun",1993,50.1,3.01,5991,8785000
"nam",1831,412.3,5.96,638,
"som",1843,452,6.87,723,
"sen",1931,482.8,5.88,1153,
"sdn",1932,396.7,6.65,1216,
"mwi",1895,439.8,6.78,355,
"mli",1982,308.9,7.07,943,7387000
"gnq",1984,213.1,5.83,1169,295100
"som",1929,423.9,6.93,862,
"nam",1896,412.2,5.96,1684,
"mli",1895,494.4,6.23,620,
"tun",1981,89.9,5.19,4980,6545000
"gnq",1897,446.3,5.51,404,
"mwi",1970,342,7.3,489,4604000
"nam",1971,97.2,6.52,5972,804300
"cpv",1885,394.7,6.56,700,
"caf",1983,178.5,5.96,984,2486000
"gnq",1972,230.2,5.68,933,274900
"som",1917,436.6,6.87,793,
"civ",1881,427.9,6.78,1123,
"eri_a_eth",1953,,,,22690000
"cpv",1873,394.7,6.54,665,
"cpv",1959,197.3,6.84,797,199900
"syc",2004,14.3,2.24,16410,87360
"mdg",2008,66.7,4.79,1528,19930000
"civ",1955,350.6,6.97,2245,2979000
"cod",2009,120.1,6.35,607,63850000
"tcd",1885,431.8,6.06,574,
"dza",1879,460.2,6.99,1393,
"ner",1967,315.1,7.3,1448,4144000
"ssd",1889,490.1,,710,
"bwa",1891,397.2,6.49,561,
"moz",1911,431,6.63,416,
"bfa",1897,454.4,6.09,524,
"gha",1845,471.4,6.43,721,
"dza",1954,253.2,7.65,4307,9610000
"bwa",1977,91.2,6.4,3298,887800
"nga",1842,438.5,6.55,975,
"egy",1833,404.7,6.05,842,
"nga",1928,414.7,6.53,1787,
"gha",1997,109.5,4.87,2148,17570000
"egy",1919,390,6.05,1372,
"bfa",1972,313.9,6.7,830,5825000
"gha",1920,435.2,6.43,1570,2420000
"cod",1808,422.6,5.99,501,
"mrt",2004,111.4,5.15,2792,3065000
"stp",2008,61,4.41,2673,163600
"rwa",1934,375.9,7.38,513,
"tza",1911,406.6,6.74,720,
"tun",1880,460.2,6.4,957,1324000
"nga",1979,218.6,6.78,4192,71620000
"uga",1909,503,6.89,715,
"syc",1854,277,5.16,980,
"mdg",1858,437.1,6.89,690,
"cod",1859,422.6,5.99,618,
"som",1968,239.9,7.23,1190,3311000
"cod",1934,387.7,5.99,1155,
"bdi",1819,423.9,6.8,425,
"bdi",1885,423.9,6.81,452,
"gin",1929,373.7,6.09,572,
"com",1808,416.2,6.01,702,
"ben",1972,257.8,6.82,1251,3039000
"dji",1945,401.6,6.3,2726,
"eri_a_eth",1992,,,,55510000
"bdi",1960,244.6,6.95,632,2787000
"swz",2007,113,3.76,5847,1135000
"reu",2012,4.95,2.26,,843200
"uga",2012,69.4,5.96,1622,35400000
"lby",2008,18.8,2.64,29850,6123000
"myt",1858,,7.07,,
"mrt",1854,417.4,6.34,623,
"stp",1858,349.9,6.23,947,
"myt",1933,,7.34,,
"ago",1895,485.6,7,937,
"stp",1933,253,6.23,1121,
"com",1934,385.6,5.89,796,
"lso",1849,407.2,5.84,404,
"ago",1970,262.3,7.3,5397,6301000
"moz",1950,392.3,6.6,445,6313000
"lso",1924,380.7,5.84,421,
"lby",1807,404.7,7.2,1051,
"egy",1872,404.7,6.04,1008,
"gin",1905,423.6,6.11,537,
"ben",1959,318.4,6.23,1127,2400000
"egy",1958,331.7,6.66,1908,25640000
"rwa",1898,419.7,7.07,488,
"tza",1875,414.9,6.74,653,
"reu",1862,,6.51,,
"lby",1945,366.6,7.2,4893,
"lso",1975,153.3,5.76,882,1149000
"mwi",2006,110.5,5.9,604,13110000
"rwa",1973,231.9,8.31,663,4102000
"tza",1950,272.5,6.7,941,7650000
"reu",1948,,7.14,,
"lby",1858,404.7,7.2,1677,
"eri",2014,48.1,4.61,1140,5110000
"uga",1948,339.9,6.89,818,
"lby",1933,374.6,7.2,4216,
"zaf",2008,66.1,2.54,12260,50350000
"esh",1960,,6.48,,32760
"cog",1829,408.5,5.67,624,
"reu",1999,11.17,2.36,,724500
"cog",1904,405.8,5.67,771,
"tgo",2011,88.3,4.75,1273,6566000
"uga",1999,150.4,6.9,1043,23030000
"mus",2011,14.9,1.51,16180,1253000
"zaf",1819,398.4,6.47,1484,
"zmb",1873,409.8,6.71,791,
"zmb",1959,211.8,6.97,3167,2961000
"rwa",1874,420,7.07,473,
"tza",1851,414.9,6.74,613,
"mwi",1868,439.8,6.78,353,
"eri",1876,441.1,6.96,615,
"mli",1868,494.5,6.23,614,
"sle",1950,433.9,5.72,1064,1944000
