time,age,population_group,employment,population,geo
1996,0,White,Employed,0,zaf
1996,0,White,Unemployed,0,zaf
1996,0,White,Discouraged work-seeker,0,zaf
1996,0,White,Not economically active,0,zaf
1996,0,White,Unspecified,0,zaf
1996,0,White,Not applicable,54071.40321,zaf
1996,0,Black African,Employed,0,zaf
1996,0,Black African,Unemployed,0,zaf
1996,0,Black African,Discouraged work-seeker,0,zaf
1996,0,Black African,Not economically active,0,zaf
1996,0,Black African,Unspecified,0,zaf
1996,0,Black African,Not applicable,698472.069,zaf
1996,1,White,Employed,0,zaf
1996,1,White,Unemployed,0,zaf
1996,1,White,Discouraged work-seeker,0,zaf
1996,1,White,Not economically active,0,zaf
1996,1,White,Unspecified,0,zaf
1996,1,White,Not applicable,51172.29426,zaf
1996,1,Black African,Employed,0,zaf
1996,1,Black African,Unemployed,0,zaf
1996,1,Black African,Discouraged work-seeker,0,zaf
1996,1,Black African,Not economically active,0,zaf
1996,1,Black African,Unspecified,0,zaf
1996,1,Black African,Not applicable,691100.0929,zaf
1996,2,White,Employed,0,zaf
1996,2,White,Unemployed,0,zaf
1996,2,White,Discouraged work-seeker,0,zaf
1996,2,White,Not economically active,0,zaf
1996,2,White,Unspecified,0,zaf
1996,2,White,Not applicable,52224.86631,zaf
1996,2,Black African,Employed,0,zaf
1996,2,Black African,Unemployed,0,zaf
1996,2,Black African,Discouraged work-seeker,0,zaf
1996,2,Black African,Not economically active,0,zaf
1996,2,Black African,Unspecified,0,zaf
1996,2,Black African,Not applicable,735442.2083,zaf
1996,3,White,Employed,0,zaf
1996,3,White,Unemployed,0,zaf
1996,3,White,Discouraged work-seeker,0,zaf
1996,3,White,Not economically active,0,zaf
1996,3,White,Unspecified,0,zaf
1996,3,White,Not applicable,54133.96462,zaf
1996,3,Black African,Employed,0,zaf
1996,3,Black African,Unemployed,0,zaf
1996,3,Black African,Discouraged work-seeker,0,zaf
1996,3,Black African,Not economically active,0,zaf
1996,3,Black African,Unspecified,0,zaf
1996,3,Black African,Not applicable,758814.1108,zaf
1996,4,White,Employed,0,zaf
1996,4,White,Unemployed,0,zaf
1996,4,White,Discouraged work-seeker,0,zaf
1996,4,White,Not economically active,0,zaf
1996,4,White,Unspecified,0,zaf
1996,4,White,Not applicable,57616.2832,zaf
1996,4,Black African,Employed,0,zaf
1996,4,Black African,Unemployed,0,zaf
1996,4,Black African,Discouraged work-seeker,0,zaf
1996,4,Black African,Not economically active,0,zaf
1996,4,Black African,Unspecified,0,zaf
1996,4,Black African,Not applicable,769174.9471,zaf
1996,5,White,Employed,0,zaf
1996,5,White,Unemployed,0,zaf
1996,5,White,Discouraged work-seeker,0,zaf
1996,5,White,Not economically active,0,zaf
1996,5,White,Unspecified,0,zaf
1996,5,White,Not applicable,60225.0028,zaf
1996,5,Black African,Employed,0,zaf
1996,5,Black African,Unemployed,0,zaf
1996,5,Black African,Discouraged work-seeker,0,zaf
1996,5,Black African,Not economically active,0,zaf
1996,5,Black African,Unspecified,0,zaf
1996,5,Black African,Not applicable,788627.5805,zaf
1996,6,White,Employed,0,zaf
1996,6,White,Unemployed,0,zaf
1996,6,White,Discouraged work-seeker,0,zaf
1996,6,White,Not economically active,0,zaf
1996,6,White,Unspecified,0,zaf
1996,6,White,Not applicable,62737.32205,zaf
1996,6,Black African,Employed,0,zaf
1996,6,Black African,Unemployed,0,zaf
1996,6,Black African,Discouraged work-seeker,0,zaf
1996,6,Black African,Not economically active,0,zaf
1996,6,Black African,Unspecified,0,zaf
1996,6,Black African,Not applicable,810542.245,zaf
1996,7,White,Employed,0,zaf
1996,7,White,Unemployed,0,zaf
1996,7,White,Discouraged work-seeker,0,zaf
1996,7,White,Not economically active,0,zaf
1996,7,White,Unspecified,0,zaf
1996,7,White,Not applicable,61728.22135,zaf
1996,7,Black African,Employed,0,zaf
1996,7,Black African,Unemployed,0,zaf
1996,7,Black African,Discouraged work-seeker,0,zaf
1996,7,Black African,Not economically active,0,zaf
1996,7,Black African,Unspecified,0,zaf
1996,7,Black African,Not applicable,758889.4174,zaf
1996,8,White,Employed,0,zaf
1996,8,White,Unemployed,0,zaf
1996,8,White,Discouraged work-seeker,0,zaf
1996,8,White,Not economically active,0,zaf
1996,8,White,Unspecified,0,zaf
1996,8,White,Not applicable,61783.8748,zaf
1996,8,Black African,Employed,0,zaf
1996,8,Black African,Unemployed,0,zaf
1996,8,Black African,Discouraged work-seeker,0,zaf
1996,8,Black African,Not economically active,0,zaf
1996,8,Black African,Unspecified,0,zaf
1996,8,Black African,Not applicable,735702.1808,zaf
1996,9,White,Employed,0,zaf
1996,9,White,Unemployed,0,zaf
1996,9,White,Discouraged work-seeker,0,zaf
1996,9,White,Not economically active,0,zaf
1996,9,White,Unspecified,0,zaf
1996,9,White,Not applicable,62698.36914,zaf
1996,9,Black African,Employed,0,zaf
1996,9,Black African,Unemployed,0,zaf
1996,9,Black African,Discouraged work-seeker,0,zaf
1996,9,Black African,Not economically active,0,zaf
1996,9,Black African,Unspecified,0,zaf
1996,9,Black African,Not applicable,724346.4036,zaf
1996,10,White,Employed,0,zaf
1996,10,White,Unemployed,0,zaf
1996,10,White,Discouraged work-seeker,0,zaf
1996,10,White,Not economically active,0,zaf
1996,10,White,Unspecified,0,zaf
1996,10,White,Not applicable,67230.871,zaf
1996,10,Black African,Employed,0,zaf
1996,10,Black African,Unemployed,0,zaf
1996,10,Black African,Discouraged work-seeker,0,zaf
1996,10,Black African,Not economically active,0,zaf
1996,10,Black African,Unspecified,0,zaf
1996,10,Black African,Not applicable,764045.6718,zaf
1996,11,White,Employed,0,zaf
1996,11,White,Unemployed,0,zaf
1996,11,White,Discouraged work-seeker,0,zaf
1996,11,White,Not economically active,0,zaf
1996,11,White,Unspecified,0,zaf
1996,11,White,Not applicable,69575.30224,zaf
1996,11,Black African,Employed,0,zaf
1996,11,Black African,Unemployed,0,zaf
1996,11,Black African,Discouraged work-seeker,0,zaf
1996,11,Black African,Not economically active,0,zaf
1996,11,Black African,Unspecified,0,zaf
1996,11,Black African,Not applicable,744420.0367,zaf
1996,12,White,Employed,0,zaf
1996,12,White,Unemployed,0,zaf
1996,12,White,Discouraged work-seeker,0,zaf
1996,12,White,Not economically active,0,zaf
