geo,time,child_mortality_0_5_year_olds_dying_per_1000_born,income_per_person_gdppercapita_ppp_inflation_adjusted,population_total
"asia",1800,,,
"europe",1800,,,
"africa",1800,,,
"americas",1800,,,
zaf,2013,43.3,12450,53420000,45.1
zaf,2014,33.7,12450,1,43.3
zaf,2015,33.7,12510,54490000,42.1
1,1996,45.1,12450,0
2,1996,45.1,12450,0
3,1996,45.1,12450,0
4,1996,45.1,12450,0
5,1996,45.1,12450,0
6,1996,45.1,12450,0
7,1996,45.1,12450,0
8,1996,45.1,12450,0
9,1996,45.1,12450,0
1,2013,45.1,12450,0
2,2013,45.1,12450,0
3,2013,45.1,12450,0
4,2013,45.1,12450,0
5,2013,45.1,12450,0
6,2013,45.1,12450,0
7,2013,45.1,12450,0
8,2013,45.1,12450,0
9,2013,45.1,12450,0
1,2014,15.927759,15098,6082234
2,2014,36.459973,7542,6806559
3,2014,40.865261,12084,1171781
4,2014,43.8985,11969,2792317
5,2014,43.297371,10145,10720159
6,2014,49.76645,12106,3644236
7,2014,25.217838,17910,12917525
8,2014,36.474957,12021,4207387
9,2014,31.785967,8530,5627802
1,2015,33.7,12450,0
2,2015,33.7,12450,0
3,2015,33.7,12450,0
4,2015,33.7,12450,0
5,2015,33.7,12450,0
6,2015,33.7,12450,0
7,2015,33.7,12450,0
8,2015,33.7,12450,0
9,2015,33.7,12450,0
vut,1877,276.7,712,
stp,1984,100.1,2469,101900
mus,1822,427.9,952,
mhl,2005,40.2,3272,52060
khm,1978,235.9,1003,6983000
tls,1827,449.3,550,
tto,1819,406,1234,
che,2007,4.8,54480,7560000
vct,1960,128.1,2974,80950
pri,1984,18.74,19860,3338000
sgp,1986,10.4,25810,2767000
deu_west,1996,,,64440000
ita,2001,5.2,36690,57360000
jam,1984,36.3,6288,2284000
nam,1944,334,3499,
myt,1972,,,40200
mrt,1979,168.6,2879,1491000
kwt,1994,15.2,75580,1692000
mus,1974,72.3,4155,878400
rus,1924,236.4,2315,
prt,1949,171.2,3806,
mys,1970,55.8,4051,10910000
vut,1952,182.6,1329,50300
chl,1892,429.3,3044,
mys,1817,435.8,1000,
mus,1887,299.1,1303,
rus,1837,418.7,1634,
mys,1883,435.8,1178,
esp,1805,450.6,1519,
mco,1884,,4208,
tls,1902,457.8,637,
tgo,1810,426.6,683,446000
lao,1896,418.6,1039,
msr,1810,,,5230
mmr,1816,433.1,842,
mus,1810,427.9,941,78310
isr,1850,447.5,886,214600
jor,1844,421.3,1080,
nor,1804,335.7,1286,
kor,1834,503.4,556,
tls,1815,447.6,537,
mys,1969,58.5,3902,10640000
cyp,1905,267.8,2337,
grl,1841,,493,
isl,1820,412.3,929,62500
irl,1821,348.2,1472,
col,1884,417.4,1139,
bol,1894,404.7,1725,
bel,1980,14.5,25850,9856000
ner,1803,433.1,446,
gbr,1876,238.6,6441,
lbr,1826,429.2,812,
mar,1817,403.4,717,
plw,1941,,5495,
blz,1860,304.2,760,25760
kos,1988,,,1657000
mus,1962,93.4,3288,698300
rus,1912,370.9,3481,
gab,1843,435.8,393,
cpv,1846,394.7,593,
hrv,1860,366.8,1794,1748000
grl,1927,,1637,
isl,1906,113.7,2760,
mdv,1900,393.1,838,63980
irl,1907,134.8,4316,
cmr,1991,138.2,2586,12430000
kir,1915,297.5,644,
bwa,1813,397.2,398,
bra,1818,417.4,1112,
blz,1946,165.4,1760,
civ,1842,427.9,961,
cpv,1998,44.3,3082,419900
hrv,1946,143,4168,
gbr,1951,35.1,11420,50620000
lbr,1901,427.9,993,
bfa,1819,454.7,481,
civ,1928,401.4,1549,
cpv,1921,377.6,812,
civ,1994,149.3,2851,13950000
ago,1918,468,1174,
ury,1814,406,1762,
pry,1864,374,1452,
che,1806,344.8,2704,
spm,2004,,,6259
tls,1953,404.7,691,448900
som,2005,174.3,616,8467000
aze,1905,298,1539,
zwe,1868,395.9,943,
ury,1880,406,5445,480700
blz,1934,179.6,1478,
bfa,1960,347.6,659,4829000
ssd,1863,490.1,626,
png,2006,72.9,1819,6236000
are,1902,432.7,2060,
ury,1966,57.6,7746,2723000
