geo,time,gender,age,population_projection
zaf,2016,female,0,506366
zaf,2016,male,0,483527
zaf,2016,female,1,509246
zaf,2016,male,1,495246
zaf,2016,female,2,524762
zaf,2016,male,2,527491
zaf,2016,female,3,536129
zaf,2016,male,3,550458
zaf,2016,female,4,543715
zaf,2016,male,4,565214
zaf,2016,female,5,547891
zaf,2016,male,5,572828
zaf,2016,female,6,549224
zaf,2016,male,6,574808
zaf,2016,female,7,548280
zaf,2016,male,7,572669
zaf,2016,female,8,544443
zaf,2016,male,8,565258
zaf,2016,female,9,537689
zaf,2016,male,9,552760
zaf,2016,female,10,528981
zaf,2016,male,10,537571
zaf,2016,female,11,519426
zaf,2016,male,11,520252
zaf,2016,female,12,508954
zaf,2016,male,12,498704
zaf,2016,female,13,500135
zaf,2016,male,13,489824
zaf,2016,female,14,494416
zaf,2016,male,14,501450
zaf,2016,female,15,491043
zaf,2016,male,15,525597
zaf,2016,female,16,487416
zaf,2016,male,16,547394
zaf,2016,female,17,483571
zaf,2016,male,17,570957
zaf,2016,female,18,482710
zaf,2016,male,18,584765
zaf,2016,female,19,486006
zaf,2016,male,19,581953
zaf,2016,female,20,492010
zaf,2016,male,20,568684
zaf,2016,female,21,497676
zaf,2016,male,21,556974
zaf,2016,female,22,503112
zaf,2016,male,22,543202
zaf,2016,female,23,508526
zaf,2016,male,23,535550
zaf,2016,female,24,513549
zaf,2016,male,24,538906
zaf,2016,female,25,517735
zaf,2016,male,25,548319
zaf,2016,female,26,521116
zaf,2016,male,26,554520
zaf,2016,female,27,523824
zaf,2016,male,27,560041
zaf,2016,female,28,522807
zaf,2016,male,28,557925
zaf,2016,female,29,516586
zaf,2016,male,29,543989
zaf,2016,female,30,506342
zaf,2016,male,30,521965
zaf,2016,female,31,495487
zaf,2016,male,31,500757
zaf,2016,female,32,484262
zaf,2016,male,32,479770
zaf,2016,female,33,468988
zaf,2016,male,33,455881
zaf,2016,female,34,448473
zaf,2016,male,34,428807
zaf,2016,female,35,424789
zaf,2016,male,35,400388
zaf,2016,female,36,401004
zaf,2016,male,36,371932
zaf,2016,female,37,376265
zaf,2016,male,37,342219
zaf,2016,female,38,355513
zaf,2016,male,38,320759
zaf,2016,female,39,341440
zaf,2016,male,39,312127
zaf,2016,female,40,331921
zaf,2016,male,40,311938
zaf,2016,female,41,322100
zaf,2016,male,41,311100
zaf,2016,female,42,312895
zaf,2016,male,42,311252
zaf,2016,female,43,304287
zaf,2016,male,43,310131
zaf,2016,female,44,295757
zaf,2016,male,44,305639
zaf,2016,female,45,287586
zaf,2016,male,45,298924
zaf,2016,female,46,280306
zaf,2016,male,46,293264
zaf,2016,female,47,273499
zaf,2016,male,47,288031
zaf,2016,female,48,268077
zaf,2016,male,48,281561
zaf,2016,female,49,264452
zaf,2016,male,49,273364
zaf,2016,female,50,261911
zaf,2016,male,50,263804
zaf,2016,female,51,259400
zaf,2016,male,51,254006
zaf,2016,female,52,257189
zaf,2016,male,52,244060
zaf,2016,female,53,253679
zaf,2016,male,53,232625
zaf,2016,female,54,247987
zaf,2016,male,54,219248
zaf,2016,female,55,240788
zaf,2016,male,55,204666
zaf,2016,female,56,233710
zaf,2016,male,56,190015
zaf,2016,female,57,226510
zaf,2016,male,57,175000
zaf,2016,female,58,218838
zaf,2016,male,58,161229
zaf,2016,female,59,210715
zaf,2016,male,59,149595
zaf,2016,female,60,202240
zaf,2016,male,60,139410
zaf,2016,female,61,193513
zaf,2016,male,61,129253
zaf,2016,female,62,184524
zaf,2016,male,62,119597
zaf,2016,female,63,175617
zaf,2016,male,63,109624
zaf,2016,female,64,166984
zaf,2016,male,64,98840
zaf,2016,female,65,158511
zaf,2016,male,65,87842
zaf,2016,female,66,150021
zaf,2016,male,66,77584
zaf,2016,female,67,141686
zaf,2016,male,67,67715
zaf,2016,female,68,133051
zaf,2016,male,68,59646
zaf,2016,female,69,123915
zaf,2016,male,69,54118
zaf,2016,female,70,114601
zaf,2016,male,70,50419
zaf,2016,female,71,105528
zaf,2016,male,71,46961
zaf,2016,female,72,96478
zaf,2016,male,72,43910
zaf,2016,female,73,88583
zaf,2016,male,73,41394
zaf,2016,female,74,82407
zaf,2016,male,74,39263
zaf,2016,female,75,77392
zaf,2016,male,75,37408
zaf,2016,female,76,72508
zaf,2016,male,76,35967
zaf,2016,female,77,68075
zaf,2016,male,77,35022
zaf,2016,female,78,63192
zaf,2016,male,78,33349
zaf,2016,female,79,57347
zaf,2016,male,79,30383
zaf,2016,female,80,51038
zaf,2016,male,80,26659
zaf,2016,female,81,45131
zaf,2016,male,81,23201
zaf,2016,female,82,39285
zaf,2016,male,82,19721
zaf,2016,female,83,34566
zaf,2016,male,83,16930
zaf,2016,female,84,31547
zaf,2016,male,84,15258
zaf,2016,female,85,29606
zaf,2016,male,85,14303
zaf,2016,female,86,27727
zaf,2016,male,86,13303
zaf,2016,female,87,26312
zaf,2016,male,87,12508
zaf,2016,female,88,23913
zaf,2016,male,88,11247
zaf,2016,female,89,19774
zaf,2016,male,89,9137
zaf,2016,female,90,14672
zaf,2016,male,90,6568
zaf,2016,female,91,9670
zaf,2016,male,91,2101
zaf,2016,female,92,5423
zaf,2016,male,92,1681
zaf,2016,female,93,2313
zaf,2016,male,93,1260
zaf,2016,female,94,992
zaf,2016,male,94,841
zaf,2016,female,95,872
zaf,2016,male,95,420
zaf,2016,female,96,1101
zaf,2016,male,96,323
zaf,2016,female,97,939
zaf,2016,male,97,409
zaf,2016,female,98,607
zaf,2016,male,98,297
zaf,2016,female,99,212
zaf,2016,male,99,77
zaf,2016,female,100plus,599
zaf,2016,male,100plus,79
zaf,2017,female,0,513182
zaf,2017,male,0,497682
zaf,2017,female,1,523803
zaf,2017,male,1,525923
zaf,2017,female,2,512906
zaf,2017,male,2,503698
zaf,2017,female,3,525194
zaf,2017,male,3,528792
zaf,2017,female,4,534507
zaf,2017,male,4,547262
zaf,2017,female,5,541021
zaf,2017,male,5,559732
zaf,2017,female,6,544914
zaf,2017,male,6,566834
zaf,2017,female,7,546756
zaf,2017,male,7,570078
zaf,2017,female,8,547114
zaf,2017,male,8,570982
zaf,2017,female,9,544203
zaf,2017,male,9,565737
zaf,2017,female,10,537405
zaf,2017,male,10,553202
zaf,2017,female,11,528082
zaf,2017,male,11,536661
zaf,2017,female,12,518302
zaf,2017,male,12,518875
zaf,2017,female,13,507773
zaf,2017,male,13,497288
zaf,2017,female,14,499013
zaf,2017,male,14,488457
zaf,2017,female,15,493533
zaf,2017,male,15,500270
zaf,2017,female,16,490492
zaf,2017,male,16,524680
zaf,2017,female,17,487159
zaf,2017,male,17,546713
zaf,2017,female,18,483606
zaf,2017,male,18,570507
zaf,2017,female,19,482876
zaf,2017,male,19,584446
zaf,2017,female,20,486057
zaf,2017,male,20,581607
zaf,2017,female,21,491767
zaf,2017,male,21,568193
zaf,2017,female,22,497133
zaf,2017,male,22,556334
zaf,2017,female,23,502249
zaf,2017,male,23,542396
zaf,2017,female,24,507267
zaf,2017,male,24,534499
zaf,2017,female,25,511818
zaf,2017,male,25,537520
zaf,2017,female,26,515476
zaf,2017,male,26,546532
zaf,2017,female,27,518319
zaf,2017,male,27,552322
zaf,2017,female,28,520487
zaf,2017,male,28,557427
zaf,2017,female,29,518915
zaf,2017,male,29,554881
zaf,2017,female,30,512129
zaf,2017,male,30,540512
zaf,2017,female,31,501332
zaf,2017,male,31,518065
zaf,2017,female,32,489952
zaf,2017,male,32,496438
zaf,2017,female,33,478211
zaf,2017,male,33,475023
zaf,2017,female,34,462578
zaf,2017,male,34,450829
zaf,2017,female,35,441928
zaf,2017,male,35,423639
zaf,2017,female,36,418272
