province_from,municipality_to,population_group,flow
1,261,Black African,133.66065
1,261,Coloured,362.10422
1,261,Indian or Asian,0
1,261,White,249.87384
1,261,Other,7.21853
1,262,Black African,56.17742
1,262,Coloured,33.03135
1,262,Indian or Asian,0
1,262,White,86.38292
1,262,Other,0
1,263,Black African,60.04746
1,263,Coloured,28.21724
1,263,Indian or Asian,0
1,263,White,20.71112
1,263,Other,1.12459
1,264,Black African,205.59224
1,264,Coloured,109.34952
1,264,Indian or Asian,4.49836
1,264,White,257.32816
1,264,Other,7.87213
1,265,Black African,127.53774
1,265,Coloured,20.24262
1,265,Indian or Asian,0
1,265,White,244.50614
1,265,Other,3.37377
1,266,Black African,123.56789
1,266,Coloured,70.81024
1,266,Indian or Asian,0
1,266,White,86.66656
1,266,Other,8.99672
1,267,Black African,71.64567
1,267,Coloured,352.39459
1,267,Indian or Asian,0
1,267,White,86.01984
1,267,Other,2.24918
1,268,Black African,274.91252
1,268,Coloured,253.8474
1,268,Indian or Asian,3.37377
1,268,White,736.886
1,268,Other,14.61967
1,269,Black African,191.51569
1,269,Coloured,224.20036
1,269,Indian or Asian,0
1,269,White,204.08396
1,269,Other,18.62494
1,270,Black African,1520.0548
1,270,Coloured,3.44812
1,270,Indian or Asian,1.19894
1,270,White,22.15516
1,270,Other,1.14297
1,271,Black African,1972.709
1,271,Coloured,3.14297
1,271,Indian or Asian,3.11
1,271,White,5
1,271,Other,0
1,272,Black African,94.29873
1,272,Coloured,1.84476
1,272,Indian or Asian,0
1,272,White,55.13752
1,272,Other,2.96935
1,273,Black African,1454.14952
1,273,Coloured,16.58395
1,273,Indian or Asian,0
1,273,White,61.069
1,273,Other,5.846
1,274,Black African,570.40395
1,274,Coloured,2.22
1,274,Indian or Asian,0
1,274,White,16.05242
1,274,Other,0
1,276,Black African,1298.62095
1,276,Coloured,40.61922
1,276,Indian or Asian,2.32353
1,276,White,38.29172
1,276,Other,9.0151
1,277,Black African,95.388
1,277,Coloured,39.6764
1,277,Indian or Asian,5.62295
1,277,White,33.07312
1,277,Other,0
1,278,Black African,320.2519
1,278,Coloured,129.60924
1,278,Indian or Asian,4.49836
1,278,White,166.43222
1,278,Other,1.12459
1,279,Black African,266.91882
1,279,Coloured,26.91987
1,279,Indian or Asian,0
1,279,White,12.362
1,279,Other,2.39788
1,280,Black African,134.59944
1,280,Coloured,18.30919
1,280,Indian or Asian,0
1,280,White,31.5703
1,280,Other,1.84476
1,281,Black African,2053.15675
1,281,Coloured,43.53041
1,281,Indian or Asian,3.26756
1,281,White,86.42834
1,281,Other,24.54002
1,282,Black African,2390.62921
1,282,Coloured,9.13083
1,282,Indian or Asian,0
1,282,White,2.39788
1,282,Other,0
1,283,Black African,2088.13582
1,283,Coloured,5.62295
1,283,Indian or Asian,0
1,283,White,12.58677
1,283,Other,9.17979
1,284,Black African,1266.5186
1,284,Coloured,0
1,284,Indian or Asian,0
1,284,White,1.14297
1,284,Other,1.19894
1,285,Black African,952.69606
1,285,Coloured,29.52132
1,285,Indian or Asian,1.12459
1,285,White,16.9262
1,285,Other,1.12459
1,286,Black African,1297.52786
1,286,Coloured,36.19913
1,286,Indian or Asian,1.12459
1,286,White,8.92818
1,286,Other,1.12459
1,287,Black African,711.60461
1,287,Coloured,22.37046
1,287,Indian or Asian,0
1,287,White,12.92943
1,287,Other,0
1,288,Black African,125.8044
1,288,Coloured,31.23934
1,288,Indian or Asian,2.12459
1,288,White,33.54038
1,288,Other,0
1,289,Black African,189.44099
1,289,Coloured,35.89821
1,289,Indian or Asian,0
1,289,White,79.80168
1,289,Other,0
1,290,Black African,82.69399
1,290,Coloured,2.32353
1,290,Indian or Asian,0
1,290,White,2.11
1,290,Other,0
1,291,Black African,27.80313
1,291,Coloured,4.56191
1,291,Indian or Asian,4.56191
1,291,White,1.19894
1,291,Other,0
1,292,Black African,296.531
1,292,Coloured,1.19894
1,292,Indian or Asian,0
1,292,White,0
1,292,Other,0
1,293,Black African,552.08773
1,293,Coloured,3.28594
1,293,Indian or Asian,1.14297
1,293,White,6.19894
1,293,Other,0
1,294,Black African,1201.37113
1,294,Coloured,56.05095
1,294,Indian or Asian,8.99672
1,294,White,41.23938
1,294,Other,8.99672
1,295,Black African,434.86699
1,295,Coloured,7.90889
1,295,Indian or Asian,1.19894
1,295,White,7.33624
1,295,Other,0
1,296,Black African,298.25212
1,296,Coloured,8.05759
1,296,Indian or Asian,0
1,296,White,0
1,296,Other,0
1,297,Black African,52.5652
1,297,Coloured,4.66544
1,297,Indian or Asian,0
1,297,White,1.14297
1,297,Other,0
1,298,Black African,69.44235
1,298,Coloured,0
1,298,Indian or Asian,0
1,298,White,0
1,298,Other,1.12459
1,260,Black African,2636.95007
1,260,Coloured,410.31198
1,260,Indian or Asian,68.97704
1,260,White,847.93564
1,260,Other,31.48852
1,299,Black African,2379.09145
1,299,Coloured,1534.7389
1,299,Indian or Asian,97.71474
1,299,White,3087.8689
1,299,Other,90.46884
1,460,Black African,40.43082
1,460,Coloured,39.89815
1,460,Indian or Asian,1.19654
1,460,White,32.26589
1,460,Other,2.39308
1,461,Black African,52.78583
1,461,Coloured,30.25767
1,461,Indian or Asian,0
1,461,White,99.66594
1,461,Other,0
1,462,Black African,21.58829
1,462,Coloured,2.39308
1,462,Indian or Asian,0
1,462,White,31.22653
1,462,Other,0
1,463,Black African,9.24423
1,463,Coloured,1.08572
1,463,Indian or Asian,0
1,463,White,1.08197
1,463,Other,0
1,464,Black African,13.93229
1,464,Coloured,1.08572
1,464,Indian or Asian,1.1271
1,464,White,32.92443
