Country;Years;Article 177 references;Population;Intra-EU trade
Belgium;1961;1;11231;5
France;1961;1;66152;5
Germany;1961;1;80983;9
Italy;1961;1;60789;3
Netherlands;1961;1;16865;5
Belgium;1962;1;11183;6
France;1962;1;65745;7
Germany;1962;1;80646;13
Italy;1962;1;60646;5
Netherlands;1962;5;16804;6
Belgium;1963;1;11128;6
France;1963;1;65439;8
Germany;1963;1;80426;14
Italy;1963;1;60339;6
Netherlands;1963;5;16755;7
Belgium;1964;1;11048;8
France;1964;1;65128;9
Germany;1964;1;81040;16
Italy;1964;2;60060;6
Netherlands;1964;4;16693;8
Belgium;1965;1;10920;8
France;1965;2;64819;10
Germany;1965;4;81777;19
Italy;1965;1;59830;7
Netherlands;1965;1;16615;9
Belgium;1966;1;10796;9
France;1966;1;64505;12
Germany;1966;1;81902;20
Italy;1966;1;59578;8
Netherlands;1966;1;16530;10
Belgium;1967;5;10710;9
France;1967;3;64179;12
Germany;1967;12;82110;21
Italy;1967;1;59242;9
Netherlands;1967;3;16446;10
Belgium;1968;1;10626;11
France;1968;1;63826;15
Germany;1968;4;82266;25
Italy;1968;1;58787;10
Netherlands;1968;2;16382;12
Belgium;1969;4;10548;14
France;1969;1;63437;19
Germany;1969;11;82376;31
Italy;1969;1;58428;12
Netherlands;1969;1;16346;15
Belgium;1970;4;10479;17
France;1970;2;63001;21
Germany;1970;21;82469;37
Italy;1970;2;58191;15
Netherlands;1970;3;16320;18
Belgium;1971;1;10421;18
France;1971;6;62533;24
Germany;1971;19;82516;42
Italy;1971;5;57845;16
Netherlands;1971;6;16282;20
Belgium;1972;5;10376;22
France;1972;1;62078;29
Germany;1972;20;82534;47
Italy;1972;4;57413;19
Netherlands;1972;10;16225;22
Belgium;1973;9;10333;27
Denmark;1973;1;5376;8
France;1973;4;61644;37
Germany;1973;37;82488;59
Ireland;1973;1;3932;3
Italy;1973;5;57100;23
Netherlands;1973;6;16149;28
United Kingdom;1973;1;59370;24
Belgium;1974;5;10287;35
Denmark;1974;1;5359;10
France;1974;6;61202;46
Germany;1974;15;82350;75
Ireland;1974;1;3866;4
Italy;1974;5;57015;30
Netherlands;1974;7;16046;38
United Kingdom;1974;1;59120;33
Belgium;1975;7;10251;35
Denmark;1975;1;5340;10
France;1975;15;60762;47
Germany;1975;26;82212;75
Ireland;1975;1;3805;4
Italy;1975;14;56983;30
Netherlands;1975;4;15926;38
United Kingdom;1975;1;58893;34
Belgium;1976;11;10226;46
Denmark;1976;1;5322;13
France;1976;8;60352;60
Germany;1976;28;82100;97
Ireland;1976;1;3755;5
Italy;1976;12;56957;37
Netherlands;1976;14;15812;49
United Kingdom;1976;1;58682;41
Belgium;1977;16;10203;50
Denmark;1977;1;5304;13
France;1977;14;60047;66
Germany;1977;30;82047;109
Ireland;1977;2;3713;6
Italy;1977;7;56947;41
Netherlands;1977;9;15707;53
United Kingdom;1977;5;58487;49
Belgium;1978;7;10181;54
Denmark;1978;3;5285;14
France;1978;12;59831;72
Germany;1978;46;82035;119
Ireland;1978;1;3674;8
Italy;1978;11;56931;47
Netherlands;1978;38;15611;56
United Kingdom;1978;5;58317;55
Belgium;1979;13;10157;63
Denmark;1979;1;5263;16
France;1979;18;59624;87
Germany;1979;33;81915;141
Ireland;1979;2;3638;10
Italy;1979;19;56901;59
Netherlands;1979;11;15530;66
United Kingdom;1979;7;58167;71
Belgium;1980;14;10137;69
Denmark;1980;2;5233;17
France;1980;13;59419;97
Germany;1980;24;81678;157
Ireland;1980;3;3609;11
Italy;1980;19;56885;67
