country,indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,Adults (Trillions),1845,1860,1882,1911,1942,1974,2006,2038,2070,2103,2136,2170,2204,2237,2270,2285,2316
Algeria,Adults (Trillions),16389,16961,17554,18159,18769,19377,19977,20570,21155,21735,22308,22877,23438,23982,24497,24736,25195
Angola,Adults (Trillions),6032,6224,6432,6652,6881,7115,7354,7598,7850,8111,8385,8670,8968,9273,9584,9740,10053
Antigua and Barbuda,Adults (Trillions),51,52,54,55,56,57,58,59,60,60,60,61,62,63,64,65,66
Argentina,Adults (Trillions),23498,23872,24226,24567,24909,25260,25621,25990,26364,26743,27122,27502,27884,28265,28644,28832,29206
Armenia,Adults (Trillions),1982,1993,2008,2028,2049,2073,2099,2125,2151,2177,2201,2224,2244,2263,2277,2283,2292
Australia,Adults (Trillions),13879,14086,14304,14528,14753,14972,15184,15391,15594,15797,16001,16206,16412,16617,16820,16919,17115
Austria,Adults (Trillions),6160,6199,6250,6308,6368,6423,6474,6521,6565,6607,6648,6687,6725,6761,6794,6809,6837
Azerbaijan,Adults (Trillions),4787,4870,4960,5058,5164,5277,5397,5524,5655,5786,5915,6040,6161,6276,6382,6430,6519
Bahamas,Adults (Trillions),186,190,194,199,203,208,212,216,220,224,228,233,237,242,246,249,253
Bahrain,Adults (Trillions),415,426,436,446,457,467,478,489,500,513,526,540,556,571,587,595,610
Bangladesh,Adults (Trillions),72624,74959,77344,79765,82210,84665,87126,89588,92047,94497,96933,99352,101751,104135,106513,107702,110079
Barbados,Adults (Trillions),179,180,181,183,185,187,188,190,192,194,195,197,198,200,201,202,203
Belarus,Adults (Trillions),7357,7375,7398,7423,7449,7475,7501,7527,7549,7565,7573,7572,7561,7543,7519,7504,7473
Belgium,Adults (Trillions),7803,7838,7878,7921,7967,8015,8065,8116,8168,8218,8266,8309,8350,8387,8423,8440,8473
Belize,Adults (Trillions),121,126,130,135,140,145,150,155,160,165,170,176,182,188,193,196,202
Benin,Adults (Trillions),2984,3092,3210,3337,3467,3599,3732,3867,4004,4144,4286,4432,4581,4733,4890,4970,5135
Bolivia,Adults (Trillions),4172,4277,4385,4496,4610,4727,4847,4971,5098,5229,5365,5506,5652,5800,5951,6026,6175
Bosnia and Herzegovina,Adults (Trillions),2674,2735,2778,2808,2833,2858,2885,2909,2931,2949,2963,2973,2980,2985,2988,2990,2993
Botswana,Adults (Trillions),859,883,906,928,950,975,1000,1028,1056,1083,1110,1135,1159,1181,1203,1214,1236
Brazil,Adults (Trillions),104462,107032,109648,112279,114883,117428,119905,122317,124660,126935,129146,131285,133355,135385,137412,138439,140507
Brunei,Adults (Trillions),200,206,212,218,225,231,238,244,251,257,264,271,278,286,293,296,304
Bulgaria,Adults (Trillions),6206,6199,6192,6184,6174,6164,6154,6141,6126,6108,6085,6058,6026,5991,5951,5930,5887
Burkina Faso,Adults (Trillions),4909,5093,5296,5510,5728,5942,6152,6359,6566,6779,7001,7232,7472,7721,7978,8110,8379
Burundi,Adults (Trillions),2715,2798,2914,3056,3216,3388,3570,3762,3956,4143,4315,4468,4605,4729,4849,4909,5032
Cambodia,Adults (Trillions),5826,6024,6253,6504,6764,7022,7277,7529,7782,8040,8308,8585,8867,9151,9429,9563,9826
Cameroon,Adults (Trillions),7277,7490,7708,7931,8159,8392,8630,8872,9120,9374,9634,9903,10178,10459,10740,10881,11161
Canada,Adults (Trillions),22764,23085,23421,23766,24113,24455,24792,25122,25451,25783,26123,26470,26822,27173,27514,27677,27995
Cape Verde,Adults (Trillions),196,202,209,215,223,230,238,246,254,262,270,278,286,295,303,307,315
Central African Republic,Adults (Trillions),1778,1813,1846,1880,1915,1955,1999,2047,2098,2151,2205,2259,2314,2370,2427,2457,2516
Chad,Adults (Trillions),3639,3771,3910,4054,4198,4340,4477,4612,4746,4883,5025,5172,5326,5485,5650,5735,5907
Chile,Adults (Trillions),9816,9997,10185,10379,10578,10780,10986,11195,11407,11619,11832,12044,12255,12461,12660,12754,12938
China,Adults (Trillions),822228,833435,844882,856855,869671,883508,898543,914596,931039,946999,961832,975239,987030,998205,1008608,1013536,1023129
Colombia,Adults (Trillions),22720,23291,23867,24448,25032,25622,26214,26809,27407,28010,28618,29231,29847,30464,31078,31382,31986
Comoros,Adults (Trillions),263,273,283,293,303,313,323,332,341,351,360,369,378,388,397,402,412
"Congo, Dem. Rep.",Adults (Trillions),21052,21636,22288,22998,23747,24522,25320,26148,27008,27903,28835,29805,30811,31854,32930,33485,34612
"Congo, Rep.",Adults (Trillions),1405,1443,1487,1535,1583,1628,1668,1706,1744,1786,1835,1892,1956,2024,2095,2131,2202
Costa Rica,Adults (Trillions),2286,2358,2431,2505,2580,2655,2731,2807,2883,2958,3032,3105,3176,3246,3315,3349,3416
Cote d'Ivoire,Adults (Trillions),8245,8460,8656,8844,9037,9246,9474,9718,9979,10256,10545,10849,11169,11501,11844,12019,12373
Croatia,Adults (Trillions),3431,3429,3433,3441,3451,3460,3468,3475,3482,3487,3492,3495,3497,3498,3497,3497,3496
Cyprus,Adults (Trillions),546,558,570,582,594,606,617,629,639,650,661,672,683,694,704,709,719
Czech Republic,Adults (Trillions),7848,7892,7926,7955,7989,8032,8086,8150,8218,8281,8335,8379,8413,8437,8454,8459,8465
